nostalgic_0,u276590,Maroon 5 - she will be loved,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
nostalgic_1,u263589,"""ender"" - finch",Finch,Ender,2467058,TROLSCV128C719637A
nostalgic_2,u535115,Phyllis Hyman- Old Friend,Phyllis Hyman,Old Friend,4179798,TRELUTH128F92D1739
nostalgic_3,u104,Caring is Creepy - The Shins,The Shins,Caring Is Creepy,11270427,TRYSPOW128F4280A46
nostalgic_4,u574296,motion city soundtrack - indoor living,Motion City Soundtrack,Indoor Living (Album Version),3973978,TRXUAYJ128F428AB2F
nostalgic_5,u574300,Blue October- Clumsy Card House,Blue October,Clumsy Card House,17673433,TRGXWZL128F4263994
nostalgic_6,u268545,Gifts and Curses - Yellowcard,Yellowcard,Gifts And Curses,13207101,
nostalgic_7,u187,Brian Hyland - Sealed with a Kiss,Brian Hyland,Sealed With A Kiss,18762544,TRZVRYS128F14640AF
nostalgic_8,u402112,Curtis Mayfield - Superfly,Curtis Mayfield,Superfly,2389965,
nostalgic_9,u603022,Another Perfect Day- American Hi Fi,American Hi-Fi,Another Perfect Day,2356569,TRXHUBY128F427E299
nostalgic_10,u535150,Maroon 5 - Sunday Morning,Maroon 5,Sunday Morning,864418,TRRUESA128F9302A03
nostalgic_11,u603033,"""Wonderwall"" - Oasis",Oasis,Wonderwall,167751,TRUJWKU128E07934B6
nostalgic_12,u574321,Hoy - Gloria Estefan,Gloria Estefan,Hoy (Salsa Mix),3522017,
nostalgic_13,u402144,Green Day- Holiday,Green Day,Holiday,8807805,
nostalgic_14,u263597,dido - slide,Dido,Slide,7095640,TRRKYRR128F428B04A
nostalgic_15,u263598,3 doors down- kryptonite,3 Doors Down,Kryptonite,143770,TRHTCXG12903CC2F60
nostalgic_16,u535168,Watashi Wa - All of me,Watashi Wa,All Of Me (Watashi Wa Album Version),669941,TRQKNWN128F14AE1EF
nostalgic_17,u481061,Wallflowers - Invisible City,The Wallflowers,Invisible City,157981,TRIQJHA128E079128C
nostalgic_18,u276793,Cursive - Sierra,Cursive,Sierra (Album Version),1126804,TRZVQGB128F4292FFC
nostalgic_19,u574339,Delerium - Eternal Odyssey,Delerium,Eternal Odyssey,11087800,TRBFCZZ12903D060A0
nostalgic_20,u481081,Something Corporate- you&apos;re gone,Something Corporate,You're Gone,160326,TRZFEDU128E0791895
nostalgic_21,u481082,solar stone - solarcoaster,Solar Stone,Solarcoaster (Midway Mix),8789757,
nostalgic_22,u276834,low millions-Low Millions,Low Millions,Low Millions,1611326,TRCXGKM128F1465313
nostalgic_23,u271873,Pretty Baby - Vanessa Carlton,Vanessa Carlton,Pretty Baby,11681329,TRRDUSR128E0792808
nostalgic_24,u271873,City Love - John Mayer,John Mayer,City Love,5000209,TRDCZUX128F4263A74
nostalgic_25,u574352,Jewel - Hands,Jewel,Hands,13977840,TRHXKKB128F931A945
nostalgic_26,u674,Surf Wax America -Weezer,Weezer,Surf Wax America (Live),5642815,
nostalgic_27,u402273,outkast - roses,OutKast,Roses,19726784,TRZTJRK128F428D2BC
nostalgic_28,u705,Lostprophets - Last Train Home,Lostprophets,Last Train Home,536416,TRKOKRZ128F1492716
nostalgic_29,u481127,The Rose - Bette Midler,Bette Midler,The Rose,2218417,TRARREW128F92CD3D9
nostalgic_30,u535246,Enigma - Modern Crusaders,Enigma,Modern Crusaders.,298404,TRADYXQ128F14655F1
nostalgic_31,u832,got punched in the nose for sticking my...-boys night out,Boys Night Out,I Got Punched In The Nose For Sticking My Face In Other People's Business,602298,TRHHOSR128F932C84F
nostalgic_32,u481140,Lenny Kravitz- Fly Away,Lenny Kravitz,Fly Away,1550812,TREEZOR128F146A21E
nostalgic_33,u623739,Beloved- Allure,Beloved,Allure (Failure On Album Version),668299,TRHLVGB128F14ADBAD
nostalgic_34,u481149,Sevendust- Home,Sevendust,Home,586994,
nostalgic_35,u623746,Muse - Sing For Absolution,Muse,Sing For Absolution,5134202,TRPLEEV128F42A7627
nostalgic_36,u402348,Something Corporate - walking by,Something Corporate,Walking By,8858926,TRGEOIU12903CB7037
nostalgic_37,u256084,me and the moon - something corporate,Something Corporate,Me And The Moon,2444849,TRUZNCR128F429239E
nostalgic_38,u638974,We are the Champions - Queen,Queen,We Are The Champions,11612134,
nostalgic_39,u638975,eisley - telescope eyes,Eisley,Telescope Eyes (Album Version),1408353,TRUEOZF128F423C606
