numb_0,u35,Green Day - Boulevard of Broken Dreams,Green Day,Boulevard Of Broken Dreams,8807889,
numb_1,u276647,Queen - Bohemian Rhapsody,Queen,Bohemian Rhapsody,11612115,TRINKPR128F1455756
numb_2,u603019,"Taking Back Sunday - There&apos;s No ""I"" In Team",Taking Back Sunday,There's No 'i' In Team,15813072,
numb_3,u402117,Time of the Season- The Zombies,The Zombies,Time Of The Season,6110509,TRBIEKF128E0795404
numb_4,u481023,Avenged Sevenfold - To End the Rapture,Avenged Sevenfold,To End The Rapture,13565941,TRNUDHG12903CAF56B
numb_5,u228,New Dawn Fades - Joy Division,Joy Division,New Dawn Fades,2350088,TRWVPKR128F427CAAA
numb_6,u603027,Hawthorne Heights - Ohio Is For Lovers,Hawthorne Heights,Ohio Is For Lovers,15684044,
numb_7,u481032,ATREYU- BLEEDING MASCARA,Atreyu,Bleeding Mascara,15671785,
numb_8,u603032,The Doors - Riders on the Storm,The Doors,Riders On The Storm,2309587,
numb_9,u535153,Portishead - Roads,Portishead,Roads,123521,TRJCXTT128F14534FE
numb_10,u293,Pink Floyd- Goodbye Blue Sky,Pink Floyd,Goodbye Blue Sky,15487525,
numb_11,u310,ROB ZOMBIE - NUMB,Rob Zombie,Feel So Numb,7004860,TRFYIGG128F148D102
numb_12,u574322,Who Are You - The Who,The Who,Who Are You,7503994,TRQYQRQ128E078DEFF
numb_13,u271871,coheed and cambria- cuts marked in the march of men,Coheed and Cambria,Cuts Marked In The March Of Men,5773635,TRNPTKQ128F92E426D
numb_14,u535167,As Lovers Go - Dashboard,Dashboard Confessional,As Lovers Go (Remix),5572862,
numb_15,u276746,blondie -war child,Blondie,War Child,6864853,TRFGXQB128F145CF21
numb_16,u276767,give me novacaine - GREEN DAY,Green Day,Give Me Novacaine,3586831,
numb_17,u276784,Switchfoot- Dare you to move,Switchfoot,Dare You To Move,7333372,TRMAAYB12903CA52A5
numb_18,u623719,"""The Drama Summer"" -The Starting Line",The Starting Line,The Drama Summer,276887,TRKJLHT128F1460DC7
numb_19,u535199,Goo Goo Dolls - Acoustic #3,Goo Goo Dolls,Acoustic #3,6914291,
numb_20,u638957,the academy is-attention,The Academy Is...,Attention (Album Version),312296,TRXNHYZ128F1468728
numb_21,u402252,Marilyn Manson - The Dope Show,Marilyn Manson,The Dope Show,163116,TRHTLCM128E0783A19
numb_22,u256078,Same Direction - Hoobastank,Hoobastank,Same Direction,497431,TRRDBIT128F9316A92
numb_23,u603062,my chemical romance- cemetery drive,My Chemical Romance,Cemetery Drive,11754014,
numb_24,u574365,american girl-tom petty,Tom Petty,American Girl (live),18944012,
