okay_0,u603006,They can&apos;t save us-Kill Hannah,Kill Hannah,They Can't Save Us Now (Album Version),68309,TRUSOXD128E078511A
okay_1,u574285,New American Classic-- Taking Back Sunday,Taking Back Sunday,New American Classic,15686853,
okay_2,u603008,sondre lerche - wet ground,Sondre Lerche,Wet Ground,6366,TRCHKQX128E0781846
okay_3,u480995,Foolish Games- Jewel,Jewel,Foolish Games,367356,TRRBVHI128F9330A22
okay_4,u84,muse-in your world,Muse,In Your World,5770991,
okay_5,u603014,"""Falling For You""-- Weezer",Weezer,Falling For You,170655,TRCHIKX128F931E7BD
okay_6,u481004,the shins- caring is creepy,The Shins,Caring Is Creepy,11270427,TRYSPOW128F4280A46
okay_7,u276636,Home-Three Days Grace,Three Days Grace,Home,17425527,TRMXLMR128F425B9B1
okay_8,u574302,The Killers- Somebody Told Me,The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
okay_9,u481014,such great heights- postal service,The Postal Service,Such Great Heights,1579101,TRCRCBT128F4260DD1
okay_10,u481015,Sunday Morning-Maroon 5,Maroon 5,Sunday Morning,864418,TRRUESA128F9302A03
okay_11,u574305,metallica - frayed ends of sanity,Metallica,The Frayed Ends Of Sanity,3520848,TRCPDCX128F42BA12A
okay_12,u535129,System Of A Down - psycho,System of a Down,Psycho,3226389,TRNJKYV128F427328B
okay_13,u276659,Juli - Sterne,Juli,Sterne,1351458,TRNXZPL128F428885A
okay_14,u170,*Dream-When i get there,Dream,When I Get There,216353,
okay_15,u263594,Prodigy - Breathe,The Prodigy,Breathe,401242,
okay_16,u263594,Smashing Pumpkins - Bullet With Butterfly Wings,The Smashing Pumpkins,Bullet With Butterfly Wings,104225,TRBHVDQ128E0788919
okay_17,u638944,"""First Straw"" - 311",311,First Straw,5828368,TRHLBJI128F92F159C
okay_18,u603021,Usher - Yeah!,Usher,Yeah! - Instrumental,16143555,
okay_19,u638945,family business-kanye west,Kanye West,Family Business,23438,TRWDPUY128F9339D39
okay_20,u535145,all american rejects - paper heart,The All-American Rejects,My Paper Heart,162166,TRWKZFE128F933F5F8
okay_21,u535146,"Switchfoot-""Beautiful Letdown""",Switchfoot,The Beautiful Letdown,7333374,TRBEXBB12903CA529F
okay_22,u535148,My Dying Bride - The Snow In My Hand,My Dying Bride,The Snow In My Hand,15900162,TRPWPTX128F42AD934
okay_23,u603032,Muse - Time is running out,Muse,Time Is Running Out,5134201,TRSEKGD128F42B654D
okay_24,u276714,"""Karma"" - Alicia Keys",Alicia Keys,Karma,3358987,TRHBKJS128F42AC31B
okay_25,u276730,Modest Mouse - Broke,Modest Mouse,Broke,3300420,TRONDNE128F4284E64
okay_26,u638949,true - ryan cabrera,Ryan Cabrera,True (Spanglish Version),1337642,TRGMKDB128F423117A
okay_27,u638949,Let&apos;s Take Our Time - Ryan Cabrera,Ryan Cabrera,Let's Take Our Time (Album Version),1140564,TRYPUBJ128E078513C
okay_28,u402162,Bob Dylan - Like a rolling stone,Bob Dylan,Like A Rolling Stone,10894050,TRQYBUJ128F427A3E7
okay_29,u623711,The Best of Me - The Starting Line,The Starting Line,The Best Of Me,276875,TRZBOTQ128F1460DBB
okay_30,u623712,Hot Fudge - Robbie Williams,Robbie Williams,Hot Fudge,5594,TRFTAAY128E0781591
okay_31,u377,submersed - you run,Submersed,You Run,7004478,TRLZNNT128F9326C87
okay_32,u402173,Less Than Jake -  The Science Of Selling Yourself,Less Than Jake,The Science Of Selling Yourself Short,79757,
okay_33,u535173,God Forbid - Better Days,God Forbid,Better Days,18164358,TRRASAM12903CFEF02
okay_34,u535173,Element Eighty - Dummy Block,Element Eighty,Dummy Block,497469,TRPITIP128F148B138
okay_35,u623716,Modest Mouse - Heart Cooks Brain,Modest Mouse,Heart Cooks Brain,2082205,TRVHTNR128F42411F1
okay_36,u256071,Three Days Grace - I Hate (Everything About You),Three Days Grace,I Hate Everything About You,3112257,TRRGTOV128F425B9D1
okay_37,u276778,bosstones - hell of a hat,The Mighty Mighty Bosstones,Hell Of A Hat,505570,TRZVSJA128F148C52A
okay_38,u467,Hurricane- Something Corporate,Something Corporate,(Hurricane) The Formal Weather Pattern,573429,TRZAMML128F149840A
okay_39,u535197,boyz II men- a song for mama,Boyz II Men,A Song For Mama,15636687,TRNWDUH128E0799ABE
okay_40,u574341,the light - common,Common,The Light,6434579,TRMNHWW128E078F5B4
okay_41,u276828,"""These White Lights will Bend to Make Blue"" --Azure Ray",Azure Ray,These White Lights Will Bend To Make Blue,1126820,
okay_42,u565,bad religion--digital boy,Bad Religion,21st Century (Digital Boy),9904069,TRPXWFT128F42B44DD
okay_43,u638956,Dimmu Borgir - Allegiance,Dimmu Borgir,Allegiance,1122050,TRGKTLK128F427FD45
okay_44,u594,truth is- fantasia,Fantasia,Truth Is,3357551,TRIXDOM128F429293F
okay_45,u276862,three simple words- finch,Finch,Three Simple Words,266236,TRMOCVK12903CACB1A
okay_46,u276865,"a.f.i.- ""silver and cold""",AFI,Silver And Cold,3857046,TRZCCSU128F1474B88
