pensive_0,u402072,Nickelback - How You Remind Me,Nickelback,How You Remind Me,1429905,TRKDDZW128F930B393
pensive_1,u574290,The Flys - Got you where I want you,The Flys,Got You (Where I Want You),9867294,TRHXWHH128EF3630B2
pensive_2,u535118,Speak- lindsay lohan,Lindsay Lohan,Speak,2234295,TRKEOXS128E0788DAD
pensive_3,u481003,Mates of State- Editor,Mates of State,Everyone Needs An Editor,11287681,
pensive_4,u402117,Reel Big Fish- Beer,Reel Big Fish,Beer,11459557,TRVHGRG128F42957A1
pensive_5,u535140,switchfoot - meant to live,Switchfoot,Meant To Live,3861386,TRFZHJF12903CA52A6
pensive_6,u271,"""I Think I&apos;m Paranoid"" -Garbage",Garbage,I Think I'm Paranoid,19756465,
pensive_7,u481043,eyehategod - revelation-revolution,Eyehategod,Revelation/revolution,8134774,TRGZYTX12903CF130E
pensive_8,u603037,The Hurricane- Bob Dylan,Bob Dylan,Hurricane,10894081,TRMYEFF128F426EF54
pensive_9,u402153,Toni Braxton-Spanish Guitar,Toni Braxton,Spanish Guitar,3314860,TRCBHDA128F42AC47A
pensive_10,u623714,The Killers - Smile Like You Mean It,The Killers,Smile Like You Mean It,4465245,TRMWNOO128F9309A56
pensive_11,u498,"""Precious Illusions"" - Alanis Morissette",Alanis Morissette,Precious Illusions,87652,
pensive_12,u256074,A Perfect Circle - Gravity,A Perfect Circle,Gravity,1689114,TRIKSDU128F427B6FC
pensive_13,u276806,Every Time I Die-She&apos;s My Rushmore,Every Time I Die,She's My Rushmore,3022701,TRJMZAL128F424843A
pensive_14,u550,Poe-Haunted,Poe,Haunted,6246685,TRUOGKT128F9356C4F
pensive_15,u268548,Common Rotation - Dancer,Common Rotation,Dancer (live),801035,TRAFVFF128EF352A7B
pensive_16,u631,Aerosmith- Sweet Emotion,Aerosmith,Sweet Emotion,148388,TRVHVGY128F42698AE
pensive_17,u481100,Eighteen Visions- This time,Eighteen Visions,This Time,15130572,TRBNXIH128F428076A
pensive_18,u667,Snow Patrol - Run,Snow Patrol,Run,346912,TRGUKXL128E07846D5
pensive_19,u276902,The Beatles - Let it Be,The Beatles,Let It Be,21979062,
pensive_20,u535234,The Ramones - I Wanna Be Sedated,The Ramones,I Wanna Be Sedated,645028,
pensive_21,u481133,Lara Fabian - Adagio,Lara Fabian,Adagio,18348651,TRKJBIO128F4278C09
pensive_22,u402319,Lifehouse - Cling and Clatter,Lifehouse,Cling And Clatter,307755,TRKOEVX128F14676AD
pensive_23,u481151,Sense Field - Save Yourself,Sense Field,Save Yourself,11492936,TRSUFMP12903CE811E
pensive_24,u638972,Fast Car- Tracy Chapman,Tracy Chapman,Fast Car,492361,
pensive_25,u535292,Cat Stevens- Wild World,Cat Stevens,Wild World,2234783,TRAOOYZ128F92E2D6E
pensive_26,u535300,Angie - Rolling Stones,The Rolling Stones,Angie,6077798,TRYZUSO128F42BA4E2
pensive_27,u277170,PORTISHEAD-ROADS,Portishead,Roads,123521,TRJCXTT128F14534FE
pensive_28,u574432,goodnight LA- counting crows,Counting Crows,Goodnight L.A.,982666,TRKONFP128F42594AB
pensive_29,u535305,rufio-tears,Rufio,Tears,18716497,TRXBKWU128F423EE38
pensive_30,u1469,Here Without You - 3 Doors Down,3 Doors Down,Here Without You,147252,TRMOYCC128C7196947
pensive_31,u1503,Refused - The Shape Of Punk To Come,Refused,The Shape Of Punk To Come,3973523,TRDWCEG128F428B6F7
pensive_32,u402516,Pinball Wizard - The Who,The Who,Pinball Wizard,7503972,TRYUTMB128E078DF00
pensive_33,u623785,Rascal Flatts - Feels Like Today,Rascal Flatts,Feels Like Today,1134097,TRHZLTT128F4293E97
pensive_34,u256095,I Won&apos;t Make You---Something Corporate,Something Corporate,I Won't Make You,162646,TRAJSLD128E0792188
pensive_35,u481323,Magic Dirt - Anita&apos;s Miracle Suntan Lotion,Magic Dirt,Anita's Miracle Suntan Lotion,630873,TRGVSFQ128F14A5A69
pensive_36,u402568,"Amerie - ""I Just Died""",Amerie,I Just Died,5823335,TRWNRMX128F426F568
pensive_37,u603143,Jimmy Eat World-Clarity,Jimmy Eat World,Clarity,1179237,TRUTURO128F426A014
pensive_38,u1800,Avril Lavigne - Fall to pieces,Avril Lavigne,Fall To Pieces,3363661,TRQFHAC128F429411B
pensive_39,u402612,Rainer Maria - Thought I Was,Rainer Maria,Thought I Was,11397338,
pensive_40,u535384,Underoath - Never Meant to Break Your Heart,Underoath,Never Meant To Break Your Heart,682696,TRETRZD128F14B084C
pensive_41,u277486,John Mayer - 83,John Mayer,83,5366072,TREJOUZ128F4278FCE
pensive_42,u277506,meant to live -switchfoot,Switchfoot,Meant To Live,3861386,TRFZHJF12903CA52A6
pensive_43,u639019,Rasputina - Transylvanian Concubine,Rasputina,Transylvanian Concubine,3158805,TRZZYFH128F42647BC
pensive_44,u277579,Slide - Dido,Dido,Slide,7095640,TRRKYRR128F428B04A
pensive_45,u2104,float on - modest mouse,Modest Mouse,Float On,3275055,TRPFYYL128F92F7144
pensive_46,u277590,walkin&apos; after midnight--patsy cline,Patsy Cline,Walkin' After Midnight,8404062,TRSCSUR128F93589A4
pensive_47,u277600,Etta James - At Last,Etta James,At Last,13563363,TRBUCIY128F422B984
pensive_48,u535433,Mr. Oizo- Flat beat,Mr. Oizo,Flat Beat,1277068,TRVXBZV128F4226B25
pensive_49,u535434,Kanye West- The New Workout Plan,Kanye West,The New Workout Plan,23432,TRHMXCE128E0784137
pensive_50,u481432,New York - Ja Rule,Ja Rule,New York,2093806,
pensive_51,u603174,Straw Dog- Something Corporate,Something Corporate,Straw Dog,160322,TRCLLPB128E0791891
pensive_52,u277628,Switchfoot - On Fire,Switchfoot,On Fire,9660797,TRIKHNN128F4283C68
pensive_53,u535449,I live my life for you --Firehouse,Firehouse,I Live My Life For You,3158634,TRHOIVA128F4265025
pensive_54,u603183,Nickelback - Someday,Nickelback,Someday,2266876,TRFWASP128F426BD5B
pensive_55,u535467,Evanescence - Imaginary,Evanescence,Imaginary,6521481,
pensive_56,u603188,they- jem,Jem,They,15888199,TRGETHW128F93321E9
pensive_57,u574537,Sunny Day Real Estate - The Prophet,Sunny Day Real Estate,The Prophet,3732122,
pensive_58,u2346,interpol - nyc,Interpol,NYC,1308470,
pensive_59,u535473,"""Drain the Blood"" - The Distillers",The Distillers,Drain The Blood (Album Version),3549109,TRSJQMM128E07851BD
pensive_60,u481481,"""Sound of Silence"" - Simon and Garfunkel",Simon & Garfunkel,The Sound Of Silence,16047013,TRFIVGV128F4266BC7
pensive_61,u623842,Dido - Honestly OK,Dido,Honestly Ok,3849137,TRCMUDX128F4287E43
pensive_62,u2424,Alice Cooper - Poison,Alice Cooper,Poison,5293856,TREEECE128F426A826
pensive_63,u535480,Nickel Creek - Beauty and the Mess,Nickel Creek,Beauty And The Mess,4285838,TRQCOYH128F92E7244
pensive_64,u603200,Taking Back Sunday - Great Romances of the 20th Century,Taking Back Sunday,Great Romances Of The 20th Century,15813073,
pensive_65,u256112,Michelle Branch-Everywhere,Michelle Branch,Everywhere,6607696,
pensive_66,u256113,the police - message in a bottle,The Police,Message In A Bottle,164159,TRMPHIY128F92EC1FD
pensive_67,u402806,the ataris- takeoffs and landings,The Ataris,Takeoffs and Landings,3222980,TRMGWWU128F427253A
pensive_68,u277778,Nick Drake - Things behind the sun,Nick Drake,Things Behind The Sun,2287,TRACWWF128F9346965
pensive_69,u639037,what if His people prayed - casting crowns,Casting Crowns,What If His People Prayed,5796796,TRULVLW128F92E9CB8
pensive_70,u481521,"""Surely Justice"" - Daryll-Ann",Daryll-Ann,Surely Justice,8291068,TRKWUXO12903D10934
pensive_71,u402841,311- Love Song,311,Love Song,5828367,
pensive_72,u2636,Maroon 5 - She will be Loved,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
pensive_73,u277858,Stacie Orrico - Dear Friend,Stacie Orrico,Dear Friend (Genuine Album Version),302003,
pensive_74,u277871,Muse - Butterflies and Hurricanes,Muse,Butterflies and Hurricanes,5134208,TRFWIRB128F42B6554
pensive_75,u574600,Avril Lavigne-My World,Avril Lavigne,My World,3432802,TRURFBL128F92EB063
pensive_76,u623864,Pink Floyd - Run Like Hell,Pink Floyd,Run Like Hell,15487580,
pensive_77,u535533,Mr. Brightside --The Killers,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
pensive_78,u574606,feeder - turn,Feeder,Turn,18218846,TRCUGQL128F14520BE
pensive_79,u603235,Candlebox - Cover Me,Candlebox,Cover Me,4674957,TRCJGXL128F9334FBC
pensive_80,u603239,3 Doors Down - Let Me Go,3 Doors Down,Let Me Go - Rock Version,117008,
pensive_81,u263649,The Cure - Lovesong,The Cure,Lovesong,3877653,TRWAMQV128E078EED8
pensive_82,u277953,black sabbath-children of the grave,Black Sabbath,Children Of The Grave,18769569,TRRTRYV12903CD3D61
pensive_83,u535555,Road to Recovery- RUFiO,Rufio,Road To Recovery,2927582,
pensive_84,u535557,The Smiths- I know it&apos;s Over,The Smiths,I Know It's Over,15458480,TRLDNYE128F14A94E1
pensive_85,u268584,"Third Eye Blind -- ""Self Righteous""",Third Eye Blind,Self Righteous,6766788,TRZMXYQ12903D081F6
