pessimistic_0,u480990,As I Lay Dying - Forever,As I Lay Dying,Forever,10413737,TRRXHKC128F934B693
pessimistic_1,u623703,steamroller-the adicts,The Adicts,Steamroller,8349165,
pessimistic_2,u268545,Somewhere I belong - Linkin Park,Linkin Park,Somewhere I Belong,449735,
pessimistic_3,u481018,Crossfade - Cold,Crossfade,Cold,163535,TRFVQQE128F427EDBF
pessimistic_4,u402105,A Perfect Circle- The Hollow,A Perfect Circle,The Hollow,320815,TRFYBQS128F146A5D9
pessimistic_5,u256062,muse- hysteria,Muse,Hysteria,5693378,TRRISDV128F42A72DA
pessimistic_6,u481022,starless-crossfade,Crossfade,Starless,3275375,TRUIXHZ128F427EDBD
pessimistic_7,u256065,ATB - Dream,ATB,My Dream,1112272,TRLQKUT128F42900F3
pessimistic_8,u276722,YellowCard-Back Home,Yellowcard,Back Home,285615,TRSAIDC128F1462E0A
pessimistic_9,u276775,third eye blind - motorcycle drive by,Third Eye Blind,Motorcycle Drive By (2006 Remastered LP Version),415738,TRBPODZ128F147C7CB
pessimistic_10,u263600,you and i - jason mraz,Jason Mraz,You And I Both,1139527,
pessimistic_11,u276844,MORGION---all the glory,Morgion,All the Glory...All the Loss,5866057,TRPXMYF128F92FA840
pessimistic_12,u535232,Hoobastank - The Reason,Hoobastank,The Reason,497438,TRXJDMQ128E0784677
pessimistic_13,u268551,Cold - End of the World,Cold,End Of The World,163526,TROJEBH128E079251B
pessimistic_14,u535255,Taking Back Sunday - New American Classic,Taking Back Sunday,New American Classic,15686853,
pessimistic_15,u535260,Faith Evans - I Love You,Faith Evans,I Love You,17395684,
pessimistic_16,u481166,Britney Spears - Everytime,Britney Spears,Everytime,3371815,TRHESQM128F9309934
pessimistic_17,u268552,Truly Madly Deeply - Savage Garden,Savage Garden,Truly Madly Deeply - Edit,5367114,
pessimistic_18,u574397,"""Every little thing she does is magic""- The Police",The Police,Every Little Thing She Does Is Magic,164167,TRFZYYH128E07927A3
pessimistic_19,u574400,pj harvey - this is love,PJ Harvey,This Is Love,158216,TRHEKEY128C7196DF8
pessimistic_20,u638978,Numb - Linkin Park,Linkin Park,Numb (Live In Texas),440026,TRHKEAQ128F1480E8E
pessimistic_21,u535287,Anarchy Burger- Vandals,The Vandals,Anarchy Burger (Hold The Government),1753227,TRFAHTT128F428A838
pessimistic_22,u256088,jason mraz - you and i both,Jason Mraz,You And I Both,1139527,
pessimistic_23,u481224,Cross My Heart- The Rocket Summer,The Rocket Summer,Cross My Heart,8223637,TRNGIFV128F427CA2A
pessimistic_24,u623765,sorry 2004  -ruben studdard,Ruben Studdard,Sorry 2004,3318349,TRXZSUN128F428923F
pessimistic_25,u277254,Eighteen Visions-Vanity,Eighteen Visions,Vanity,13139275,TRMZEKV12903CC23F2
pessimistic_26,u402500,dexter danger- seven days,Dexter Danger,Seven Days,19463107,TRUKQGM128F429BE08
pessimistic_27,u623781,Rise Against - Anywhere but here,Rise Against,Anywhere But Here,3497252,TRLUQCI128E0788854
pessimistic_28,u275216,Spineshank - (Can&apos;t Be) Fixed,Spineshank,(Can't Be) Fixed,3924125,
pessimistic_29,u271881,Time Is Running Out- Muse,Muse,Time Is Running Out,5134201,TRSEKGD128F42B654D
pessimistic_30,u603147,the used -  poetic tragedy,The Used,Poetic Tragedy,6348743,
pessimistic_31,u1833,Snow Patrol-Run,Snow Patrol,Run,346912,TRGUKXL128E07846D5
pessimistic_32,u623802,Let You Down - Three Days Grace,Three Days Grace,Let You Down,3112266,TRLSUSW128F425B9B7
pessimistic_33,u639011,Suburban Home - Descendents,Descendents,Suburban Home,3707455,TROHNHN128F92E7CF2
pessimistic_34,u535399,"""sleep all day""-jason mraz",Jason Mraz,Sleep All Day,1139534,
pessimistic_35,u277531,Slayer - Abolish Government - Superficial Love,Slayer,Abolish Government/Superficial Love,10327788,TRNIQAO128F92EA2AB
pessimistic_36,u574509,Echo -Trapt,Trapt,Echo,17425354,
pessimistic_37,u623826,zero 7 - destiny,Zero 7,Destiny,181675,TRJKYNE128E0795769
pessimistic_38,u603174,Existentialism on Prom Night- Straylight Run,Straylight Run,Existentialism On Prom Night,15747040,
pessimistic_39,u574526,Kelly Clarkson - The Trouble With Love,Kelly Clarkson,The Trouble With Love Is,21958492,TRZKZAT128F4294915
pessimistic_40,u402784,storm- lifehouse,Lifehouse,Storm,6927268,TREKGBL128F429CBE4
pessimistic_41,u277747,Switchfoot-On Fire,Switchfoot,On Fire,9660797,TRIKHNN128F4283C68
pessimistic_42,u2577,Bayside -- Just Enough To Love You,Bayside,Just Enough To Love You,15811301,
pessimistic_43,u481552,Anticipation - Chevelle,Chevelle,Anticipation (LP Version),70477,TRKCOAU128E07853F3
pessimistic_44,u481566,KoRn - Freak On A Leash,Korn,Freak On A Leash,3566179,TRBWEHR128F9314984
pessimistic_45,u277911,Bring Me To Life - Evanescence,Evanescence,Bring Me To Life,6521475,TRQZILP128F92F6E61
pessimistic_46,u639045,Dropkick Murphys- For Boston,Dropkick Murphys,For Boston,3752398,
pessimistic_47,u277926,A Perfect Circle-Blue,A Perfect Circle,Blue,239390,TRNHGBH128F427B6F0
pessimistic_48,u271887,miles apart-yellowcard,Yellowcard,Miles Apart,285609,TRCJYPQ128F1462E04
pessimistic_49,u402913,take my breath away -berlin,Berlin,Take My Breath Away,778919,TRMNRQF128F4259E46
pessimistic_50,u2993,Franz Ferdinand - Take Me Out,Franz Ferdinand,Take Me Out,5498916,TRWXKDD128F9311508
pessimistic_51,u268586,Blind Melon - Life Ain&apos;t So Shitty,Blind Melon,Life Ain't So Shitty,615532,TROHBCJ128F14A2186
pessimistic_52,u481626,mObscene - Marilyn Manson,Marilyn Manson,mOBSCENE,217268,TRSOYEJ128F149895A
pessimistic_53,u256135,Jeff Buckley - Hallelujah,Jeff Buckley,Hallelujah,3161986,TRPJRCV128F92F3F86
pessimistic_54,u278040,trapt-echo,Trapt,Echo,17425354,
pessimistic_55,u263654,The Stranglers - Golden Brown,The Stranglers,Golden Brown,15184360,TRFFVRJ128E07824CA
pessimistic_56,u263654,REM - Everybody Hurts,R.E.M.,Everybody Hurts,6516529,
pessimistic_57,u623908,A Perfect Circle - Imagine,A Perfect Circle,Imagine,313748,TRUPCJS128F1468C83
pessimistic_58,u535621,Fall Out Boy- Chicago Is So Two Years Ago,Fall Out Boy,Chicago Is So Two Years Ago,245842,
pessimistic_59,u403071,DEAD KENNEDYS- Kill the Poor,Dead Kennedys,Kill The Poor,1959117,TREDUPG128F4291E3E
pessimistic_60,u3542,With You- Jessica Simpson,Jessica Simpson,With You,759675,TRNANAN128F428248D
pessimistic_61,u623923,Alicia Keys - Mr. Man,Alicia Keys,Mr. Man,2018039,
pessimistic_62,u273948,Desperately- George Strait,George Strait,Desperately,227949,TRENNGC128F1455E87
pessimistic_63,u574714,Hoobastank - Out of Control,Hoobastank,Out Of Control,497432,TRYJPGZ128F148B113
pessimistic_64,u268596,Saez - Jeune et con,Saez,Jeune Et Con,4492354,TRASQAY128F930EAA7
pessimistic_65,u278361,The Used - Poetic Tragedy,The Used,Poetic Tragedy,6348743,
pessimistic_66,u481774,Foo Fighters- Everlong,Foo Fighters,Everlong,6788008,TRFMGZM128F92ED883
pessimistic_67,u535684,"Maroon 5 -""Sunday Morning""",Maroon 5,Sunday Morning,864418,TRRUESA128F9302A03
pessimistic_68,u481787,seein red- unwritten law,Unwritten Law,Seein' Red,163976,TRFHZZG128E07926DF
pessimistic_69,u574732,paper doll- rachael yamagata,Rachael Yamagata,Paper Doll,7425610,TRZOIAE128F42AE2CB
pessimistic_70,u603332,Senses Fail- Bloody Romance,Senses Fail,Bloody Romance,214396,TRHQMKP128F14534EC
pessimistic_71,u623944,The Verve - The drugs Don&apos;t Work,The Verve,The Drugs Don't Work,19400115,
pessimistic_72,u535728,senses fail - bite to break skin,Senses Fail,Bite To Break Skin,2700735,TRCBXOH128F42483BC
pessimistic_73,u623959,modern day emma goldman -pretty girls make graves,Pretty Girls Make Graves,Modern Day Emma Goldman,1741438,TREOGYA128F4287A36
pessimistic_74,u574786,Busta Rhymes - Dangerous,Busta Rhymes,Dangerous (Amended Version),2288310,TRDMUKM128F4270ECC
pessimistic_75,u481868,Portishead - All Mine,Portishead,All Mine,220629,TRRMSRD128F14534F7
pessimistic_76,u403348,Hoobastank - Never There,Hoobastank,Never There,497441,TRYEQVI128E0784638
pessimistic_77,u481888,Silk - Freak Me,Silk,Freak Me,12697640,TRUMQZY128F92CE6D5
pessimistic_78,u639127,Audioslave - Like a Stone,Audioslave,Like A Stone,3223009,TRBLANS128F92FD3FF
pessimistic_79,u481910,Break stuff - Limp Bizkit,Limp Bizkit,Break Stuff,3850160,TRCKGPG128E078ED38
pessimistic_80,u574825,Everywhere - Yellowcard,Yellowcard,Everywhere,1172615,TRYPJJH128F429B2C5
pessimistic_81,u623985,Howie Day- Morning After,Howie Day,Morning After,14254514,TRORQWH128F4266BA5
pessimistic_82,u403432,why worry- all-american rejects,The All-American Rejects,Why Worry,162105,TRSIXPQ128E0791FB5
pessimistic_83,u535812,Hoobastank- The Reason,Hoobastank,The Reason,497438,TRXJDMQ128E0784677
pessimistic_84,u639146,Box Car Racer-I Feel So,Box Car Racer,I Feel So,2184628,TRKRFTP128F1456CB6
pessimistic_85,u481976,Cyndi Lauper - Girls Just Wanna Have,Cyndi Lauper,Girls Just Wanna Have Fun,8282226,TREJCZX12903CC84A4
pessimistic_86,u535867,finch - perfection through silence,Finch,Perfection Through Silence,266230,TRNZBWD12903CACB1E
pessimistic_87,u271902,the doors-the end,The Doors,The End,2309645,TRAQGTQ128F930E01E
pessimistic_88,u639163,Ashlee Simpson - Shadow,Ashlee Simpson,Shadow,18453390,TRBPWVZ128F4214A7E
pessimistic_89,u482053,Marilyn Manson - the Nobodies,Marilyn Manson,The Nobodies,603187,TRBZDCP128E0792586
pessimistic_90,u482067,Dropkick Murphys - Boys on the Dock,Dropkick Murphys,Boys On The Dock,3973806,
pessimistic_91,u535895,swallowtail - finger eleven,Finger Eleven,Swallowtail,6556382,TRRBYJR12903CD4E0C
pessimistic_92,u482080,atreyu - the remembrance ballad,Atreyu,The Remembrance Ballad,15829248,
pessimistic_93,u639179,coheed and cambria - delirium trigger,Coheed and Cambria,Delirium Trigger,17269711,TRKKRTM128F428254D
pessimistic_94,u639184,Mesh - It scares me,Mesh,It Scares Me,3120761,TROSFEC128F4260F79
pessimistic_95,u603471,Placebo- Brick shithouse,Placebo,Brick Shithouse,1434403,TRKARMP128E0780D7C
pessimistic_96,u403777,Vacuum Bag -Stroke 9,Stroke 9,Vacuum Bag,266854,TRSYPKF128F145E9AF
pessimistic_97,u279339,King Of Pain--Alanis,Alanis Morissette,King Of Pain (Live/Unplugged Version),87630,TRDSMIB128E078665B
pessimistic_98,u639203,Sweet Jane - Cowboy Junkies,Cowboy Junkies,Sweet Jane,17604775,TRBEACI128F42950F4
pessimistic_99,u603508,Dashboard Confessional- Hey Girl,Dashboard Confessional,Hey Girl,386205,TRJECGS128F147714B
pessimistic_100,u279514,the get up kids - long goodnight.,The Get Up Kids,Long Goodnight,6109726,TRFQYSP128F9335636
pessimistic_101,u624055,Basket Case-Green Day,Green Day,Basket Case,2281398,
pessimistic_102,u624060,under par- thrice,Thrice,Under Par,6978853,TRLTAZK128F9320A93
pessimistic_103,u639208,taylor -- jack johnson,Jack Johnson,Taylor,152048,TROWQGL128E0784BAA
pessimistic_104,u403970,Bob Dylan - Hurricane,Bob Dylan,Hurricane,10894081,TRMYEFF128F426EF54
pessimistic_105,u624067,Sugarcult-Pretty Girl,Sugarcult,Pretty Girl (The Way),1170081,TRLLEDY128F429A960
pessimistic_106,u639213,Smells Like Teen Spirit - Nirvana,Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
pessimistic_107,u536058,i need some sleep- eels,Eels,I Need Some Sleep,5572866,TRXQVCN128F425C3A8
pessimistic_108,u279649,Radiohead -- Karma Police,Radiohead,Karma Police,4501647,TRHYPVF12903CB2D20
pessimistic_109,u603533,System of a Down - Ego Brain,System of a Down,Ego Brain,7425220,TRZVDCV12903CBB501
pessimistic_110,u603534,"death cab for cutie - ""a lack of color.""",Death Cab for Cutie,A Lack Of Color,14139757,
pessimistic_111,u268636,jabberjaw - phantom planet,Phantom Planet,Jabberjaw,3470313,TRWGDBI128F42A0448
pessimistic_112,u575015,Green Day-Novacaine,Green Day,Give Me Novacaine,3586831,
pessimistic_113,u404030,Bokkie - Elefant,Elefant,Bokkie,7365439,TRIRWTH128F9342D35
pessimistic_114,u268638,Ricky Martin - Shake Your Bon-Bon,Ricky Martin,Shake Your Bon-Bon,14338827,TRWXBRB12903CB1EC0
pessimistic_115,u639223,Led Zeppelin - Since I&apos;ve Been Loving You,Led Zeppelin,Since I've Been Loving You,1787069,
pessimistic_116,u639231,nothing else matters- Metallica,Metallica,Nothing Else Matters,417170,TRFBZPX128F42BA1BD
pessimistic_117,u279848,The Scientist - Coldplay,Coldplay,The Scientist,2970,TRMZXEW128F9341FD5
pessimistic_118,u624109,B2K - BadaBoom,B2K,Badaboom,3280409,TRIUEND128F42837F6
pessimistic_119,u603607,Oleander - Boys Don&apos;t Cry,Oleander,Boys Don't Cry,618629,TRRKISE128F14A2D95
pessimistic_120,u404293,Five For Fighting - Superman,Five for Fighting,Superman (It's Not Easy),3228109,TRZSNFG128F930ADD4
pessimistic_121,u404319,Not to touch the earth - the doors,The Doors,Not To Touch The Earth,519965,
pessimistic_122,u603630,They Might Be Giants - I Palindrome I,They Might Be Giants,I Palindrome I,1434772,
pessimistic_123,u263730,American Idiot-Green Day,Green Day,American Idiot,2281705,
pessimistic_124,u7379,default-wasting my time,Default,Wasting My Time,11472133,TRBNCNL128F145FC80
pessimistic_125,u404351,Staind - Safe Place,Staind,Warm Safe Place (LP Version),1321617,TREZMLG128F1486048
pessimistic_126,u404371,Wonderwall -- Oasis,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
pessimistic_127,u482580,i hate everything about you-three days grace,Three Days Grace,I Hate Everything About You,3112257,TRRGTOV128F425B9D1
pessimistic_128,u536282,Desperately - George Strait,George Strait,Desperately,227949,TRENNGC128F1455E87
pessimistic_129,u280284,Vanessa Carlton - Paint it Black,Vanessa Carlton,Paint It Black,2447259,TRCPUIV128E079280D
pessimistic_130,u482589,Something Corporate- Down,Something Corporate,Down,21497510,TRBWTKL12903CB7034
pessimistic_131,u263734,the postal service - clark gable,The Postal Service,Clark Gable,11270591,
pessimistic_132,u275236,Jimmy Eat World-Cautioners,Jimmy Eat World,Cautioners,2435930,TRLSBHU128E0791F07
pessimistic_133,u404449,Waking up beside you- Stabbing Westward,Stabbing Westward,Waking Up Beside You,3153974,TRZNXKZ128F4263DF0
pessimistic_134,u404472,Our Lady Peace- Clumsy,Our Lady Peace,Clumsy,4877844,TRGMSNC128F92F0798
pessimistic_135,u536325,Jeff Buckley - So Real,Jeff Buckley,So Real,13640924,TRBTEKZ128F92EA310
pessimistic_136,u280434,Dir en Grey: -saku-,Dir en grey,Saku,3059934,TROVDFQ128F9322F3F
pessimistic_137,u7885,"Neutral Milk Hotel <--> Oh, Comely",Neutral Milk Hotel,Oh Comely,5757620,TRFDWYF128F935578B
pessimistic_138,u7916,"""Sunday, Bloody Sunday""--U2",U2,Sunday Bloody Sunday,1540,TRMTMEO128F92CFD60
pessimistic_139,u482667,H.I.M. - Heartache Every Moment,HIM,Heartache Every Moment,3340837,TRREMAP128F42983BD
pessimistic_140,u280526,John Mayer - No Such Thing,John Mayer,No Such Thing,5000201,TRHZKAD128F4263A6D
pessimistic_141,u280552,Creed--One last Breath,Creed,One Last Breath,6521336,TRNCEUK12903CCC629
pessimistic_142,u268666,Modest Mouse - Bukowski,Modest Mouse,Bukowski,3275056,TRRTELE128F427EC7E
pessimistic_143,u268666,BIG dumb FACE - Blood Red Head On Fire,Big Dumb Face,Blood Red Head On Fire,163713,TRZRZDK128E07925D8
pessimistic_144,u268666,Hopesfall - April Left With Silence,Hopesfall,April Left With Silence,12990627,TRKLIUJ12903CC5006
pessimistic_145,u603703,Kanye -- Spaceship,Kanye West,Spaceship,23429,
pessimistic_146,u263747,The Clash - Clash City Rockers,The Clash,Clash City Rockers,10893239,TRCNMKK128F4259CD2
pessimistic_147,u280689,Brand New - Soco Amaretto Lime,Brand New,Soco Amaretto Lime,7031531,TRTOYKB128F932D5E1
pessimistic_148,u404686,Nirvana- Rape Me,Nirvana,Rape Me,148260,TRHMVGF128E078ED9B
pessimistic_149,u263750,My Chemical Romance- The Ghost Of You,My Chemical Romance,The Ghost Of You,1420739,
pessimistic_150,u280794,Eve 6 - Inside Out,Eve 6,Inside Out,3349375,TRGZZFI128F429094F
pessimistic_151,u482814,Hello- Evanescence,Evanescence,Hello,21478834,TRGMTGQ12903CCC659
pessimistic_152,u256305,Linkin Park - Breaking the Habit,Linkin Park,Breaking The Habit,449741,
pessimistic_153,u268680,Whitesnake - Here I Go Again,Whitesnake,Here I Go Again,554563,
pessimistic_154,u9000,RIlo Kiley - More adventurous,Rilo Kiley,More Adventurous,80659,
pessimistic_155,u404892,Ben Kweller - Wasted & Ready,Ben Kweller,Wasted & Ready,17850489,TROZYFO128F9332357
pessimistic_156,u404917,Bob Dylan - Like a Rolling Stone,Bob Dylan,Like A Rolling Stone,10894050,TRQYBUJ128F427A3E7
pessimistic_157,u639335,wonderwall- oasis,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
pessimistic_158,u639339,Train - Get To Me,Train,Get To Me,3223387,TRNWLUV128F92E1F0D
pessimistic_159,u275240,Living Colour- Cult of Personality,Living Colour,Cult Of Personality,3742783,TRNESAZ128F92F7C4B
pessimistic_160,u263767,The Police - Synchronicity II,The Police,Synchronicity II (live),3727153,
pessimistic_161,u9439,carla bruni - l&apos;excessive,Carla Bruni,L'Excessive,5923775,TRUUKDN128F9308986
pessimistic_162,u281183,Annie Lennox--Into the West,Annie Lennox,Into The West,1408076,
pessimistic_163,u536582,Evanescence-Bring me to life,Evanescence,Bring Me To Life,6521475,TRQZILP128F92F6E61
pessimistic_164,u281267,My December- Linkin Park,Linkin Park,My December,449732,TRZALAV128F1484413
pessimistic_165,u256336,Shinedown- Burning bright,Shinedown,Burning Bright,5820378,
pessimistic_166,u281396,Dead Can Dance - Chant of the Paladin,Dead Can Dance,Chant Of The Paladin (Remastered),2385879,TRZIBOF128F42852F2
pessimistic_167,u483103,Avril Lavigne- Happy Ending,Avril Lavigne,My Happy Ending,3363655,TRTXJBO128F4294115
pessimistic_168,u281550,Nirvana - Something In The Way,Nirvana,Something In The Way,148343,TRXEAZB128E078EDCE
pessimistic_169,u603862,The Dope Show--Marilyn Manson,Marilyn Manson,The Dope Show,163116,TRHTLCM128E0783A19
pessimistic_170,u624308,A Perfect Circle - Imagine,A Perfect Circle,Imagine,313748,TRUPCJS128F1468C83
