pleased_0,u256056,Hilary Duff - Fly,Hilary Duff,Fly,3788138,TRRZYBC128F9325740
pleased_1,u86,Diamonds and Guns-- The Transplants,Transplants,Diamonds And Guns (Album Version),3973825,TRMJAIF128F428A2E7
pleased_2,u120,ashlee simpson-pieces of me,Ashlee Simpson,Pieces Of Me,2708421,TRMFOLO128F424A0FC
pleased_3,u268544,Crossfade- Cold,Crossfade,Cold,163535,TRFVQQE128F427EDBF
pleased_4,u574301,Elton John - Tiny Dancer,Elton John,Tiny Dancer,14461516,
pleased_5,u276695,Nas - I Can,Nas,I Can - Instrumental,16635620,
pleased_6,u249,Slipknot-Duality,Slipknot,Duality,1397970,
pleased_7,u481046,HIM- In Joy And Sorrow,HIM,In Joy And Sorrow,3109339,TRGFARO128F42BBC28
pleased_8,u276738,"""Today"" - Smashing Pumpkins",The Smashing Pumpkins,Today,104222,TREVZLZ128E0788A78
pleased_9,u402248,o- omarion,Omarion,O,3860770,TRGBHNA128F42AAFCA
pleased_10,u402255,venom - Welcome to Hell,Venom,Welcome To Hell,15626172,TRCZDVG128F92F94F5
pleased_11,u481100,Ben Harper- Sexual Healing,Ben Harper,Sexual Healing,9683,
pleased_12,u638959,Texas Tornado- Tracy Lawrence,Tracy Lawrence,Texas Tornado,1159692,
pleased_13,u275214,Lennon - Another For Another,Lennon,Another For Another,2496239,TROXCSP128F421A3E5
pleased_14,u256078,Back Home - YellowCard,Yellowcard,Back Home,285615,TRSAIDC128F1462E0A
pleased_15,u481118,Five Iron Frenzy - Fistful of Sand,Five Iron Frenzy,Fistful Of Sand,2348045,TRMARWA128F427C2F4
pleased_16,u402327,Trapt--Headstrong,Trapt,Headstrong,6004652,
pleased_17,u481159,Hieroglyphics - At The Helm,Hieroglyphics,At The Helm,2682809,
pleased_18,u953,The Killers - Everything will be Alright,The Killers,Everything Will Be Alright,4465257,TRMCPVR128F9309A62
pleased_19,u535260,Mr. Big - To Be With You,Mr. Big,To Be With You,4296161,TRAOBMY12903CAA8DF
pleased_20,u277097,Rascal Flatts - Feels Like Today,Rascal Flatts,Feels Like Today,1134097,TRHZLTT128F4293E97
pleased_21,u277131,the killers -mr brightside,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
pleased_22,u481206,john mayer - love song for no one,John Mayer,Love Song For No One,5000213,TRMSZXT128F92F7816
pleased_23,u603097,Third Day - Sky Falls Down,Third Day,Sky Falls Down (remastered),5779718,TRYCIXU128F92E5A30
pleased_24,u263618,100 Years - Five for Fighting,Five for Fighting,100 Years,3287730,TRVYCGD12903CBBB2C
pleased_25,u481230,bob dylan-like a rolling stone,Bob Dylan,Like A Rolling Stone,10894050,TRQYBUJ128F427A3E7
pleased_26,u603102,Modest Mouse - Float On,Modest Mouse,Float On,3275055,TRPFYYL128F92F7144
pleased_27,u603102,Skinny Puppy - EmpTe,Skinny Puppy,EmpTe,5126192,TRWSDWP128F9329885
pleased_28,u603102,Hoobastank - Remember Me,Hoobastank,Remember Me,291248,TRTZUTK128F4263E35
pleased_29,u574430,Dying Fetus - Destroy The Opposition,Dying Fetus,Destroy the Opposition,2999698,TRCQTQQ128F428CE02
pleased_30,u481241,Simple Plan - perfect,Simple Plan,Perfect (Album Version),63617,TRTTCQJ128E078508A
pleased_31,u263621,"""Tomorrow"" -Avril Lavigne",Avril Lavigne,Tomorrow,14413965,TRNKSJE128F9310442
pleased_32,u277212,Ashlee--Undiscovered,Ashlee Simpson,Undiscovered,3441863,TRPWXXX128F4214A8A
pleased_33,u277220,Busted- what I go to school for,Busted,What I Go To School For,552,TRCOXTI128F92F1C78
pleased_34,u402471,Depeche Mode - Enjoy the Silence (Reinterpreted),Depeche Mode,Enjoy The Silence (Reinterpreted by Mike Shinoda),9431,
pleased_35,u481268,"""Smile""  --Tamia",Tamia,Smile (Album Version),9259256,TRJSPEJ128F4295244
pleased_36,u638993,taking back sunday- a decade under the influence,Taking Back Sunday,A Decade Under The Influence,15686835,
pleased_37,u268560,Disturbed - Voices,Disturbed,Voices,8552120,
pleased_38,u402511,You&apos;re the Only One - Maria Mena,Maria Mena,You're the only one,4281217,TRPKHRD128F92E6039
pleased_39,u402535,NOFX - Radio,NOFX,Please Play This Song On The Radio,4555853,TRZEOMO128F428A42A
pleased_40,u574461,Brian McKnight - Back At One,Brian McKnight,Back At One (Live),14770967,
pleased_41,u1667,Rhett Miller - - Our Love,Rhett Miller,Our Love (LP Version),8409958,TRLNKLK12903CBD672
pleased_42,u268564,Soul Coughing - Circles,Soul Coughing,Circles,8441184,TRALWCX12903CC5048
pleased_43,u263627,Finch - Ender,Finch,Ender,2467058,TROLSCV128C719637A
pleased_44,u603141,stevie nicks- edge of seventeen,Stevie Nicks,Edge of Seventeen,4969078,
pleased_45,u574488,paranoiattack - The Faint,The Faint,Paranoiattack (Album Version),1126911,TRZPYND128F4293067
