refreshed_0,u276626,Radiohead - Fake Plastic Trees,Radiohead,Fake Plastic Trees,7172,TRYFDIV128F42BAF81
refreshed_1,u256062,the righteous brothers-you&apos;ve lost that lovin feelin&apos;,The Righteous Brothers,You've Lost That Lovin' Feelin',168496,
refreshed_2,u276707,Sugarcult - Memory,Sugarcult,Memory,10482238,
refreshed_3,u603050,Ben Folds Five - Army,Ben Folds Five,Army,3151413,
refreshed_4,u515,red hot chili peppers - californication,Red Hot Chili Peppers,Californication,336022,
refreshed_5,u833,Salt N Pepa - push it,Salt-N-Pepa,Push It,11623560,TRBBMHE128EF341D09
refreshed_6,u638972,Because I got high- Afroman,Afroman,Because I Got High,266931,TRUZDBA128F145E9F2
refreshed_7,u535272,Switchfoot-Meant To Live,Switchfoot,Meant To Live,3861386,TRFZHJF12903CA52A6
refreshed_8,u277100,Duran Duran - Rio,Duran Duran,Rio,6863617,TROVBRU128E0794B39
refreshed_9,u481230,kansas-dust in the wind,Kansas,Dust In The Wind,11129832,TREAJZO12903D00DB8
refreshed_10,u402426,johnny cash - i&apos;ve been everywhere,Johnny Cash,I've Been Everywhere,3772550,TRPYMOQ128F92E8AF7
refreshed_11,u1263,elliott smith-say yes,Elliott Smith,Say Yes,5372709,TREYRWT128F92F8FDB
refreshed_12,u277214,Niki FM - Hawthorne Heights,Hawthorne Heights,Niki Fm,15684019,
refreshed_13,u623775,Yellowcard - Only One,Yellowcard,Only One,285608,TREJJLL128F1462E03
refreshed_14,u638996,This Love- Maroon 5,Maroon 5,This Love,864400,TRZHXFO128F9302A17
refreshed_15,u535336,Ghost of a Good Thing - Dashboard,Dashboard Confessional,Ghost Of A Good Thing,428289,TRGLHGI128F92F4162
Refreshed_16,u535341,Silver & Cold - AFI,AFI,Silver And Cold,3857046,TRZCCSU128F1474B88
refreshed_17,u402544,Things Will Go My Way--the calling,The Calling,Things Will Go My Way,3543037,TRUOYTK128F92E02B8
refreshed_18,u402572,yeah yeah yeahs - modern romance,Yeah Yeah Yeahs,Modern Romance,2471180,TRKBEBK128F421437C
refreshed_19,u263627,Green Day - Favorite Son,Green Day,Favorite Son,5820430,
refreshed_20,u603143,"""Beautiful One""- Jeremy Camp",Jeremy Camp,Beautiful One,12997714,
refreshed_21,u623800,Remy Zero - Save Me,Remy Zero,Save Me,1139512,
refreshed_22,u1819,Meet Virginia - Train,Train,Meet Virginia,3156356,TRJMIEG128F4281E89
refreshed_23,u1847,Atomship - Day of Daze,Atomship,Day Of Daze,7330486,TRTAQKK12903CA475A
refreshed_24,u535376,Devildriver- Meet the wretched,DevilDriver,Meet The Wretched,1398130,
refreshed_25,u574490,i miss you-incubus,Incubus,I Miss You,3232067,TRYSBRF128F42748B9
refreshed_26,u256104,Megadeth - Five Magics,Megadeth,Five Magics,17461,TRLCFIM128F145ACE5
refreshed_27,u623812,Wolfsheim - Once in a Lifetime,Wolfsheim,Once In A Lifetime,223521,TRMAACY128F92D8195
refreshed_28,u639020,Green Day - Boulevard Of Broken Dreams,Green Day,Boulevard Of Broken Dreams,8807889,
refreshed_29,u535420,junior jack - thrill me,Junior Jack,Thrill Me,1281362,
refreshed_30,u574512,faithless - mass destruction,Faithless,Mass Destruction,3392974,TRAYKVH128F42AC993
refreshed_31,u402722,Orgy - Blue Monday,Orgy,Blue Monday,87488,TRRSZCO128F4270273
refreshed_32,u263637,Maroon 5- This Love,Maroon 5,This Love,864400,TRZHXFO128F9302A17
refreshed_33,u603189,tenacious d - double team,Tenacious D,Double Team,3256605,TRYBYSV128F427A59F
refreshed_34,u603192,"Rise Against - Blood Red, White & Blue",Rise Against,Blood-Red White & Blue,6186330,TRLOPYD128F93480C6
refreshed_35,u603200,Arab Strap - Who Named the Days,Arab Strap,Who Named The Days?,331464,TRAKUTZ128F146C91B
refreshed_36,u481520,Wonderwall - Oasis,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
refreshed_37,u623857,"""Thinking About You"" - Radiohead",Radiohead,Thinking About You (Demo),4501152,TRYLBSX128F9310CC8
refreshed_38,u603226,Kelly Clarkson-Anytime,Kelly Clarkson,Anytime (Karaoke Lead Vocal Demo)[In The Style Of Kelly Clarkson],22096225,
refreshed_39,u623870,Travis Tritt - It&apos;s a Great Day to be Alive,Travis Tritt,It's A Great Day To Be Alive,3156485,
refreshed_40,u623890,"Sarah McLachlan - ""World on Fire""",Sarah McLachlan,World On Fire,3475547,TRPNNVY128F428452D
refreshed_41,u3066,Phil Collins - You Can&apos;t Hurry Love,Phil Collins,You Can't Hurry Love,435080,TRDQDOY128F147FC9E
refreshed_42,u278048,Virtue- He&apos;s Been Good,Virtue!,He's Been Good,5414757,
refreshed_43,u403008,Are You Still Mad - Alanis Morissette,Alanis Morissette,Are You Still Mad,87584,
refreshed_44,u535604,nowhere kids-smile empty soul,Smile Empty Soul,Nowhere Kids,63816,
refreshed_45,u574675,"""Hunter"" -- Dido",Dido,Hunter,3849132,TRQSBCS128F428B049
refreshed_46,u603290,save ferris - come on eileen,Save Ferris,Come On Eileen,3162532,TRMYKZM128F4265F61
refreshed_47,u535647,(S)aint - Manson,Marilyn Manson,(s)AINT (Album Version (Explicit)),217272,
refreshed_48,u574694,Stevie Wonder - Superstition,Stevie Wonder,Superstition,282875,TROAFDZ128F148D024
