rejected_0,u574287,oasis- wonderwall,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
rejected_1,u481000,Blake Shelton  -  Austin,Blake Shelton,Austin,6629833,
rejected_2,u603016,"""Ohio is For Lovers"" -- Hawthorne Heights",Hawthorne Heights,Ohio Is For Lovers,15684044,
rejected_3,u402098,Brooklyn is burning - Head automatica.,Head Automatica,Brooklyn Is Burning,68721,
rejected_4,u535133,limp BiZkit- break stuff,Limp Bizkit,Break Stuff,3850160,TRCKGPG128E078ED38
rejected_5,u276674,Apoptygma Berzerk - Fade to Black,Apoptygma Berzerk,Fade To Black,15046210,TROKRHT128F425DA28
rejected_6,u402115,Usher- My boo,Usher,My Boo,3108491,
rejected_7,u266,"""Christmas Card from a Hooker in Minneapolis"" -Tom Waits",Tom Waits,Christmas Card From A Hooker In Minneapolis,3329249,TRECYTZ128F428BB4B
rejected_8,u472,when you kiss me - shania twain,Shania Twain,When You Kiss Me,245501,TRWDVBM128F9333B3E
rejected_9,u481098,Metallica - Nothing Else Matters,Metallica,Nothing Else Matters,417170,TRFBZPX128F42BA1BD
rejected_10,u574358,she will be loved-maroon 5,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
rejected_11,u481137,Hopesfall - The End of a Era,Hopesfall,The End Of An Era,11568312,TRWBUDR12903CC5008
rejected_12,u402324,"Taking Back Sunday- ""You&apos;re So Last Summer""",Taking Back Sunday,You're So Last Summer,15671898,
rejected_13,u276992,Jesus Walks - Kanye,Kanye West,Jesus Walks,15691,TRGUJWM128F148D783
rejected_14,u402330,Limp Bizkit---My way,Limp Bizkit,My Way,146350,TRPZWPS128E078ED3F
rejected_15,u623741,Pink Floyd- Comfortably Numb,Pink Floyd,Comfortably Numb,15487570,TRQSIQV128F93085B3
rejected_16,u402336,The Black Dahlia Murder - Funeral Thirst,The Black Dahlia Murder,Funeral Thirst,6199342,TRTLMKR128F934B390
rejected_17,u277021,Jaws Theme Swimming-Brand New,Brand New,Jaws Theme Swimming,7056189,TRPEGWU128F9333626
rejected_18,u574388,Nobody&apos;s Home-Avril Lavigne,Avril Lavigne,Nobody's Home,3363657,TRCJNHM128F92C3172
rejected_19,u638979,LiL Jon - Let&apos;s Go!,Lil Jon,Let's Go,2658567,
rejected_20,u574411,Breathe-Michelle Branch,Michelle Branch,Breathe,6632271,
rejected_21,u603100,Join me in death- Him,HIM,Join Me In Death [Live],2502692,TRJLUQH128F421BCFF
rejected_22,u481222,"""breathing"" - lifehouse",Lifehouse,Breathing,307756,TRLLVHK128F14676AE
rejected_23,u535294,Radiohead - Kid A,Radiohead,Kid A,2748790,TRIZULQ128F932E773
rejected_24,u623765,stories  -trapt,Trapt,Stories (Album Version),6004734,TRHWYUU128F931C046
rejected_25,u402459,Bright eyes-A Perfect Sonnet,Bright Eyes,A Perfect Sonnet,570627,TRIGTIQ128F14979A3
rejected_26,u574436,Celebrity- Brad Paisley,Brad Paisley,Celebrity,11119235,TRRWOGO128F428E2EC
rejected_27,u277267,hailie&apos;s song -Eminem,Eminem,Hailie's Song,148207,TRBKFKL128E078ED76
rejected_28,u402510,Play Crack the Sky-Brand New,Brand New,Play Crack the Sky,7056199,TRBOQOM128F9333630
rejected_29,u623788,Pantera-this love,Pantera,This Love,1286682,
rejected_30,u535348,Suspension-Mae,Mae,Suspension,435189,TRMVSYP128F147FD25
rejected_31,u535348,I Loved The Way She Said LA- Spitalfield,Spitalfield,I Loved The Way She Said L.A.,15803568,
rejected_32,u1746,kanye west- through the wire,Kanye West,Through The Wire,21615,TRHIUYA128F148D77C
