rushed_0,u0,radiohead - creep,Radiohead,Creep,4501072,
rushed_1,u638938,Lenny Kravitz- Are you gonna go my way,Lenny Kravitz,Are You Gonna Go My Way (Live),17671541,TRCFIOK128E078D992
rushed_2,u275919,Hole - Celebrity Skin,Hole,Celebrity Skin,164836,TROLSBW128E0792A43
rushed_3,u623709,Incubus - Stellar,Incubus,Stellar,3165725,TRPHAVH128F4278E0D
rushed_4,u535168,FM Static - Crazy Mary,FM Static,Crazy Mary,668703,
rushed_5,u603052,"Van Halen - ""Jump""",Van Halen,Jump,5840176,TRSXEHB128F92F4351
rushed_6,u603055,raised fist - dedication,Raised Fist,Dedication,3958643,TRRMMUD128F427034B
rushed_7,u268548,Common Rotation - Sit Down,Common Rotation,Sit Down,11602220,TRMGKCB128F4235B42
rushed_8,u271874,Snow Patrol - How To Be Dead,Snow Patrol,How To Be Dead (Live from BNN),16139,
rushed_9,u689,sugar ray- fly,Sugar Ray,Fly,3378712,
rushed_10,u481111,The Strokes- Soma,The Strokes,Soma,2948854,TRHBABG128F4281C8E
rushed_11,u713,reel big fish - somebody hates me,Reel Big Fish,Somebody Hates Me,11459568,TRIMDTV128F148CF4C
rushed_12,u256080,"""Where Happiness Lives""--Magnet",Magnet,Where Happiness Lives,840832,TRJXEQA12903CCDF56
rushed_13,u603078,muse - time is running out,Muse,Time Is Running Out,5134201,TRSEKGD128F42B654D
rushed_14,u481165,Deftones - Change (In the House of Flies),Deftones,Change [In The House Of Flies],685405,
rushed_15,u1050,hey mama - black eyed peas,The Black Eyed Peas,Hey Mama,23483,
rushed_16,u481212,gob - mr sandman,Gob,Mr. Sandman,5487719,
rushed_17,u638987,"""Elefant"" - Misfit",Elefant,Misfit,2174119,TRTAYBF128F9342D2B
rushed_18,u603111,Gwen Stefani - The Real Thing,Gwen Stefani,The Real Thing,18008,TRBXDUJ128E0783E31
rushed_19,u402433,Pain- Jimmy Eat World,Jimmy Eat World,Pain,3922427,TRUTNNQ128E0783715
rushed_20,u481272,"""Hunter"" -- Dido",Dido,Hunter,3849132,TRQSBCS128F428B049
rushed_21,u481272,"""Black Coffee"" -- All Saints",All Saints,Black Coffee,311936,TRHILSH128E078F3E6
rushed_22,u623774,"""Angel"" -Aerosmith",Aerosmith,Angel,13794747,TRAEMNZ128F9334662
rushed_23,u574444,She Will be Loved - Maroon 5,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
rushed_24,u574461,Eminem - Stan,Eminem,Stan,147969,
rushed_25,u402579,voodoo glow skulls - shoot the moon,Voodoo Glow Skulls,Shoot the Moon,2225683,TRVZZTO128F428A55C
rushed_26,u1816,Between - Vienna Teng,Vienna Teng,Between,5029247,TRIBVUM128F93353F3
rushed_27,u277511,Daniel Bedingfield - If You&apos;re Not The One,Daniel Bedingfield,If You're Not The One,3181426,TRBHJXD128F14628B5
rushed_28,u2055,more than a feeling - boston,Boston,More Than A Feeling,3158567,TRMWYUT128F426A835
rushed_29,u402666,I Feel Like Funkin&apos; It Up - Rebirth Brass Band,Rebirth Brass Band,I Feel Like Funkin' It Up,2847308,TRJYEZR128F42262AC
rushed_30,u535421,Nirvana - Smells like teen spirit,Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
rushed_31,u277589,christina aguilera-reflection,Christina Aguilera,Reflection,7275982,TRHXRGB128F425B722
rushed_32,u277592,Eagle Eye Cherry - Save Tonight,Eagle-Eye Cherry,Save Tonight,165922,TRHLEVU128E0792E39
rushed_33,u277649,Etta James--At Last,Etta James,At Last,13563363,TRBUCIY128F422B984
rushed_34,u402754,The Smiths - The Queen is Dead,The Smiths,The Queen Is Dead,15488259,
rushed_35,u481466,Strata- The panic,Strata,The Panic,13233423,TRDSQHL128F9326AF1
rushed_36,u481470,Switchfoot- Gone,Switchfoot,Gone,18957548,TRXLBUQ128F42BC25F
rushed_37,u574543,The Streets - Fit But You Know It,The Streets,Fit But You Know It,133919,
rushed_38,u603196,Something Corporate -- Walking By,Something Corporate,Walking By,8858926,TRGEOIU12903CB7037
rushed_39,u535480,Cat Power - Werewolf,Cat Power,Werewolf,1193173,TROITAX128F429E9FD
rushed_40,u623846,We Care A Lot - Faith No More,Faith No More,We Care A Lot,5265147,TRHTHYQ128F4233FE1
rushed_41,u2495,Radiohead - How to disappear completely,Radiohead,How To Disappear Completely,2748792,TRTDZXN128F4252EA3
rushed_42,u2528,Velvet Underground - Heroin,The Velvet Underground,Heroin,248450,TRZCYEM128F9323F8B
rushed_43,u402839,Death From Above 1979 - Going Steady,Death From Above 1979,Going Steady,89310,TRXCSUW128E0786B93
rushed_44,u256117,silverstein-red light pledge,Silverstein,Red Light Pledge,864676,
rushed_45,u402854,led zeppelin - that&apos;s the way,Led Zeppelin,That's The Way,2315499,
rushed_46,u481550,The Shins - Caring Is Creepy,The Shins,Caring Is Creepy,11270427,TRYSPOW128F4280A46
rushed_47,u2773,mockingbird- eminem :),Eminem,Mockingbird (Instrumental),109487,
rushed_48,u271887,The quiet things that no one ever knows-brand new,Brand New,The Quiet Things That No One Ever Knows,7056183,TRSPEFX128F9333620
rushed_49,u277977,Lord Knows - 2pac,2Pac,Lord Knows,158057,TRBQDNM128F9321997
rushed_50,u403023,Yeah Yeah Yeahs- Modern Romance,Yeah Yeah Yeahs,Modern Romance,2471180,TRKBEBK128F421437C
rushed_51,u3321,Breakaway - Kelly Clarkson,Kelly Clarkson,Breakaway,3428701,TRBFAES12903CE2660
rushed_52,u278152,May It Be -- Enya,Enya,May It Be,371354,
rushed_53,u481730,Sunday Morning - Maroon 5,Maroon 5,Sunday Morning,864418,TRRUESA128F9302A03
rushed_54,u574698,The Distillers-Coral Fang,The Distillers,Coral Fang (Album Version),3549117,TRBGGFE128E0785AC0
rushed_55,u403129,David Gray - Babylon,David Gray,Babylon,1829195,TRGAMZS128E078AA8C
rushed_56,u574725,Crystal Method - Born too Slow,The Crystal Method,Born Too Slow,15668947,TRNHOBF12903CB3E12
rushed_57,u256152,Thriller - Michael Jackson,Michael Jackson,Thriller,6930065,TRQUIHC128F42ADD0D
rushed_58,u263662,Ozzy Osbourne - Aimee,Ozzy Osbourne,Aimee,3256212,TREJKFT128F4265003
rushed_59,u278438,Avenged Sevenfold - I Won&apos;t See You Tonight,Avenged Sevenfold,I Won't See You Tonight Part 2,7375766,TRBJWDI12903CAF5CF
rushed_60,u481805,Katie Q - Thirsty Merc,Thirsty Merc,Katie Q,1393508,TRHNPUC128F423AB25
rushed_61,u574756,When doves cry - Prince,Prince,When Doves Cry,1181135,
rushed_62,u574758,weezer- island in the sun,Weezer,Island In The Sun,1492400,TRGTIIJ128F424DA28
rushed_63,u263666,The Cure - Love Song,The Cure,Love Song (Acoustic Version),1355271,
rushed_64,u535733,The Darkness - Holding My Own,The Darkness,Holding My Own,1155639,TROEXLJ128F42804B1
rushed_65,u275228,"""So Alive"" - Love & Rockets",Love and Rockets,So Alive,17456382,TRPZYXC128F42383DA
rushed_66,u623960,The Cranberries - Zombie,The Cranberries,Zombie,270939,TRGBWJL128F9332B52
rushed_67,u403319,The Smiths- These Things Take Time,The Smiths,These Things Take Time,3724625,TRTQYXH128F92EBF8D
rushed_68,u623961,My Hotel Year - The Ataris,The Ataris,My Hotel Year,1753282,TRPDJUN128F427ED70
rushed_69,u278577,petey pablo - raise up,Petey Pablo,Raise Up,5414613,TRCCKLL128F4296C2A
rushed_70,u639127,Alanis Morissette - Forgiven,Alanis Morissette,Forgiven,390355,
rushed_71,u278760,Thursday - Signals over the air,Thursday,Signals Over The Air,2435740,TRAELLV128F1495C30
rushed_72,u278812,Lara Fabian  - Je suis malade,Lara Fabian,Je Suis Malade,11786678,TRSENNS128F4215C83
rushed_73,u275923,This Love--Maroon 5,Maroon 5,This Love,864400,TRZHXFO128F9302A17
rushed_74,u403559,weapon - matthew good,Matthew Good,Weapon,2514614,TRPWWLL128F421EB12
rushed_75,u535861,"""How Far"" - Martina McBride",Martina McBride,How Far,3351671,TRUFINQ128F4291247
rushed_76,u603432,metallica - the memory remains,Metallica,The Memory Remains,3520981,
rushed_77,u279033,Turn Me On - Kevin Lyttle,Kevin Lyttle,Turn Me On,63606,TRVJLGT128F42824E4
rushed_78,u639163,LL Cool J - Hush,LL Cool J,Hush,7285358,
rushed_79,u603443,Dido-Thank You,Dido,Thank You,3849136,TRFPLHY128F9302C67
