scared_0,u623698,evanescence - my immortal,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
scared_1,u32,finch - ender. /:,Finch,Ender,2467058,TROLSCV128C719637A
scared_2,u535126,"""Jude Law and a Semester Abroad"" - Brand New",Brand New,Jude Law and a Semester Abroad,16579773,TRXWGEZ128F932D5D3
scared_3,u263592,getaway car - audioslave,Audioslave,Getaway Car,3223017,TRGYLXD128F427255F
scared_4,u574314,Mariah Carey-against all odds,Mariah Carey,Against All Odds (Take A Look At Me Now),16147970,
scared_5,u402134,David Bowie-China Girl,David Bowie,China Girl,1534272,
scared_6,u402179,Cold Gin - Kiss,Kiss,Cold Gin,3701249,TRDMOKC128F92E6982
scared_7,u256071,Mudvayne - Dig,Mudvayne,Dig,3140012,TRFRTBK128F42624A0
scared_8,u574339,Razed In Black - Visions,Razed in Black,Visions,6110130,TRBRINJ128F4277F47
scared_9,u271872,Stupid Girl - Cold,Cold,Stupid Girl,164535,TRBGDYG128E0792904
scared_10,u603056,Fly from the Inside-Shinedown,Shinedown,Fly From The Inside,5820370,
scared_11,u402248,nivea- okay,Nivea,Okay,12490713,
scared_12,u535216,the killers - smile like you mean it,The Killers,Smile Like You Mean It,4465245,TRMWNOO128F9309A56
scared_13,u650,jimmy eat world-pain,Jimmy Eat World,Pain,3922427,TRUTNNQ128E0783715
scared_14,u574361,strawberry wine- Deana Carter,Deana Carter,Strawberry Wine,281623,TRCTJJN128F1461F0A
scared_15,u623730,everytime- britney spears,Britney Spears,Everytime,3371815,TRHESQM128F9309934
scared_16,u535221,Boulevard of Broken Dreams-Green DAY!,Green Day,Boulevard Of Broken Dreams,8807889,
scared_17,u535223,Muse-time is running out,Muse,Time Is Running Out,5134201,TRSEKGD128F42B654D
scared_18,u535224,The Calling-Stigmatized,The Calling,Stigmatized,12510556,TRGBKBB128F429A6D9
scared_19,u638963,Linkin Park- With You,Linkin Park,With You,193081,
scared_20,u276938,Vitamin C - Friends Forever...,Vitamin C,Graduation (Friends Forever) (LP Version),2930926,TRFPBPV128F427D6E9
scared_21,u845,Soundgarden-Head down-,Soundgarden,Head Down,12994986,TRDOMYX128E0793B07
scared_22,u263610,Nirvana - Love Buzz,Nirvana,Love Buzz,17952250,TRNQBVT128F931E01D
scared_23,u276987,Avril Lavigne - Forgotten,Avril Lavigne,Forgotten,3363673,TRYFDHX128F42A3A40
scared_24,u574389,As I Lay Dying - Falling Upon Deaf Ears,As I Lay Dying,Falling Upon Deaf Ears,6199330,TRBDSLZ128F934C6CA
scared_25,u481169,Coldplay - Clocks,Coldplay,Clocks,2971,TRENTGL128E0780C8E
scared_26,u402364,SwitchFoot - Meant To Live,Switchfoot,Meant To Live,3861386,TRFZHJF12903CA52A6
scared_27,u481185,nas-one mic,Nas,One Mic,5719725,TRHASLR128F4279984
scared_28,u574412,avril - my world.,Avril Lavigne,My World,3432802,TRURFBL128F92EB063
scared_29,u268554,Matisyahu- Close my eyes,Matisyahu,Close My Eyes,3434730,TRKHTKI128F92EA339
scared_30,u1164,cake- no phone,Cake,No Phone,3282832,TRPLHLU128F4295722
scared_31,u481244,whiskey lullaby- Brad Paisley,Brad Paisley,Whiskey Lullaby (Featuring Alison Krauss),15893632,
scared_32,u263621,"""Dare You to Move"" - Switchfoot",Switchfoot,Dare You To Move,7333372,TRMAAYB12903CA52A5
scared_33,u277193,no doubt-hey baby,No Doubt,Hey Baby,147739,TRDOGJW128E078EB5E
scared_34,u276256,Rufio- Over it,Rufio,Over It,16390006,
scared_35,u535324,interpol- length of love,Interpol,Length Of Love,1193482,TRPKJAU128F429EB3B
scared_36,u277285,unearth - endless,Unearth,Endless,18625540,TRMNSDV128F934B466
scared_37,u273937,Mario - Let Me Love You,Mario,Let Me Love You,3471123,TRGFRWU128F42ADFA6
scared_38,u574457,Nothing to Lose - Billy Talent,Billy Talent,Nothing To Lose,2272005,TRKZZUV128F4223197
scared_39,u277354,Bruce--Brilliant Disguise,Bruce Springsteen,Brilliant Disguise,15726106,TREBOSQ128F427BD53
scared_40,u481323,Adema - Everyone,Adema,Everyone,3356474,TRMCLJZ128F429250A
scared_41,u256100,this is the new shit-marilyn manson,Marilyn Manson,This Is The New Shit,511406,TRPWBRV128F148D659
scared_42,u263629,My Chemical Romance - Helena,My Chemical Romance,Helena,1420735,
scared_43,u268566,Evanescence - My Immortal,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
scared_44,u623810,Blessed - Martina McBride,Martina McBride,Blessed,17189190,TRMGWBO128F428A374
scared_45,u402662,Adema- Freaking Out,Adema,Freaking Out,3356477,TRTPXHP128F429250D
scared_46,u639021,avril-happy ending,Avril Lavigne,My Happy Ending,3363655,TRTXJBO128F4294115
scared_47,u268570,Rise Against - Blood Red White & Blue,Rise Against,Blood-Red White & Blue,6186330,TRLOPYD128F93480C6
scared_48,u603171,american idiot - green day,Green Day,American Idiot,2281705,
scared_49,u2163,wu tang- reunited,Wu-Tang Clan,Reunited,3243582,TRWKSZM128F92EB1C2
scared_50,u277630,Counting Crows - Mr. Jones,Counting Crows,Mr. Jones,162710,TRANKTK128E07921D9
scared_51,u481512,Wild Horses-The Sundays,The Sundays,Wild Horses,4672462,TRLNXRT128F9351C1D
scared_52,u603212,Enjoy The Silence - Depeche Mode,Depeche Mode,Enjoy the Silence,513104,TRALENG12903D111A5
