shocked_0,u535111,Coldplay - The Scientist,Coldplay,The Scientist,2970,TRMZXEW128F9341FD5
shocked_1,u574312,boys are back in town-thin lizzy,Thin Lizzy,The Boys Are Back In Town,11348831,TRGNEGQ128F4277112
shocked_2,u402127,garrison * -gasoline,Garrison Starr,Gasoline,2229324,TRBKGSY128F92F21E1
shocked_3,u638948,Zeromancer- Send Me an Angel,Zeromancer,Send Me An Angel,89917,TRAPEHR128E0786D5A
shocked_4,u256071,Mudvayne - Dig,Mudvayne,Dig,3140012,TRFRTBK128F42624A0
shocked_5,u603059,"Kansas-""Dust in the Wind""",Kansas,Dust In The Wind,11129832,TREAJZO12903D00DB8
shocked_6,u638971,Black Crowes - She Talks to Angels,The Black Crowes,She Talks To Angels,10239527,
shocked_7,u638976,Ataris - Teenage Riot,The Ataris,Teenage Riot,1753009,TRRJAXS128F428A75E
shocked_8,u1035,Apocalyptica - Until It Sleeps,Apocalyptica,Until It Sleeps (Instrumental Version),2477441,
shocked_9,u574406,Modern Life Is War - Self Preservation,Modern Life Is War,Self Preservation,5862614,TRWAOIO128F92F9ACD
SHOCKED_10,u1080,Glen Campbell - Galveston,Glen Campbell,Galveston,9802828,TRPLZCJ128F92FFB1A
shocked_11,u481219,Metallica - One,Metallica,One,16296009,TRMLBEG128F42BA124
shocked_12,u1276,Stabbing Westward -Save yourself,Stabbing Westward,Save Yourself,12430688,TRGYHRX128F4263395
shocked_13,u1440,Jonah33  -  Working Man Hands,Jonah33,Working Man Hands,3470438,TRJHATK128F42ADCF9
shocked_14,u402497,Judas Priest- Hell Bent For Leather,Judas Priest,Hell Bent For Leather,10886306,TRCLYBG128F92E8969
shocked_15,u1479,the ataris - i.o.u. one galaxy,The Ataris,IOU One Galaxy - Live Version,,
shocked_16,u271880,[I just wanna live] - Good Charlotte,Good Charlotte,I Just Wanna Live,3290771,TRTODYW128F4282A13
shocked_17,u277336,nightwish - carpenter,Nightwish,The Carpenter,2327387,TRQYFHN128F931290C
shocked_18,u603144,"Pantera - ""Cowboys From Hell""",Pantera,Cowboys From Hell,10640597,TRIPQXT12903CE7FE9
shocked_19,u256100,hell yeah-montgomery gentry,Montgomery Gentry,Hell Yeah,3164718,TRUCCBK128F42AC769
shocked_20,u402588,Linkin Park - Pushing Me Away,Linkin Park,Pushing Me Away (Album Version),7006417,TRBJVGJ128E0797FCE
shocked_21,u574499,fugees - ready or not,Fugees,Ready Or Not,3262527,TRHRRCH128F427D27F
shocked_22,u402640,Anouk - Lost,Anouk,Lost,19680635,TRCHKXK128F42636EC
shocked_23,u2002,duality - slipknot,Slipknot,Duality,1397970,
shocked_24,u535415,"Babe, I&apos;m gonna leave you - Led Zeppelin",Led Zeppelin,Babe I'm Gonna Leave You,2876024,
shocked_25,u277559,robbie williams - radio,Robbie Williams,Radio,21723497,TRJPJFB128F426779F
