silly_0,u71,where happiness lives -Magnet,Magnet,Where Happiness Lives,840832,TRJXEQA12903CCDF56
silly_1,u276632,Yellowcard-Gifts and Curses,Yellowcard,Gifts And Curses,13207101,
silly_2,u481009,coheed and cambria- devil in jersey city,Coheed and Cambria,Devil In Jersey City,17269705,TRNARJE128F4282550
silly_3,u276640,The Buggles- Video Killed the Radio Star,Buggles,Video Killed The Radio Star,11416487,
silly_4,u574298,failure&apos;s not flattering- new found glory,New Found Glory,Failure's Not Flattering,2329189,TRNIEHB128F427AAF9
silly_5,u574302,CDOASS - &apos;Speak To Me&apos;,CDOASS,Speak To Me,4073071,
silly_6,u402100,lloyd banks- karma,Lloyd Banks,Karma,3900,TRSLBTW128E0780F84
silly_7,u574325,Haunted- Poe,Poe,Haunted,6246685,TRUOGKT128F9356C4F
silly_8,u481058,weezer- undone... the sweater song!!,Weezer,Undone -- The Sweater Song,3814173,TRSMLEM128F9339EA8
silly_9,u268547,Sublime - What I Got,Sublime,What I Got,2185366,TRBXUWB128F149DA2D
silly_10,u263599,Default- By your side,Default,By Your Side,11472146,TRMIMKT128F93206AE
silly_11,u471,"CKY- ""Flesh Into Gear""",CKY,Flesh Into Gear,271522,TRZUUKG128F145F98A
silly_12,u574340,robert johnson-they&apos;re red hot,Robert Johnson,They're Red Hot,13530741,TROOOWR128F4280C34
silly_13,u481076,Switchfoot - Loser,Switchfoot,The Loser,2562124,TRUONLJ128F4228803
silly_14,u623727,taking back sunday - a decade under the influence,Taking Back Sunday,A Decade Under The Influence,15686835,
silly_15,u276866,sonic youth--stereo sanctity,Sonic Youth,Stereo Sanctity,981025,TRZPZNW128F4272015
silly_16,u263604,smashing pumpkins- landslide,The Smashing Pumpkins,Landslide,104224,TRXJIEY128E0788A7A
silly_17,u574370,Happy Ending - Avril Lavigne,Avril Lavigne,My Happy Ending,3363655,TRTXJBO128F4294115
silly_18,u848,Pink Floyd-Animals,Pink Floyd,Several Species Of Small Furry Animals Gathered Together In A Cave And Grooving With A Pict (2011 - Remaster),15462644,
silly_19,u256081,Simon and Garfunkel - Feelin&apos; Groovy,Simon & Garfunkel,The 59th Street Bridge Song (Feelin' Groovy),14623824,TRPOUCU128F427C122
silly_20,u535249,Only One-Yellowcard,Yellowcard,Only One,285608,TREJJLL128F1462E03
silly_21,u275921,Kelly Clarkson - A Moment Like This,Kelly Clarkson,A Moment Like This,3371063,TRHOQZW128F4297564
silly_22,u268552,Unforgiven - Metallica,Metallica,The Unforgiven,417166,
silly_23,u638977,depeche mode -personal jesus-,Depeche Mode,Personal Jesus,513101,TRYIJWH128F146948C
silly_24,u638977,Franz Ferdinand - 40&apos;,Franz Ferdinand,40',5025240,TRXODNS128F92E4326
silly_25,u574398,cold-crossfade,Crossfade,Cold,163535,TRFVQQE128F427EDBF
silly_26,u574400,"goldfrapp - ""felt mountain""",Goldfrapp,Felt Mountain,24687,TRBWWKE128E0784AD0
silly_27,u277081,Cruel Summer-Bananarama,Bananarama,Cruel Summer,716626,TRXHWIA128E078A9BB
silly_28,u277108,Beep Beep - Oh No!,Beep Beep,Oh No! (Album Version),570567,TROPUWQ128F1497967
silly_29,u603094,The Get Up Kids - Company Dime,The Get Up Kids,The Company Dime,6109720,TRHVQMI128F9335630
silly_30,u402419,AFI- Silver and Cold,AFI,Silver And Cold,3857046,TRZCCSU128F1474B88
silly_31,u402435,senses fail-((bloody romance)),Senses Fail,Bloody Romance,214396,TRHQMKP128F14534EC
silly_32,u263621,"""Broken Angel"" - Hanson",Hanson,Broken Angel,16089369,TRHKEIS128F428BC73
silly_33,u603130,No Doubt - Underneath it all,No Doubt,Underneath It All,3259963,TRVVCKP128E078EB5F
silly_34,u535336,i want to know what love is - foreigner,Foreigner,I Want To Know What Love Is,3246230,TRCYFPB128F4277D81
silly_35,u638998,Dead - Korn,Korn,Dead,4291145,TRHVWTM128F9314BA6
silly_36,u481314,The Killers-Mr. Brightside,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
silly_37,u402551,Cold-Whatever You Became,Cold,Whatever You Became,164538,TRVGOWG128E0792907
silly_38,u277378,R.E.M. - High Speed Train,R.E.M.,High Speed Train,424954,
silly_39,u402586,Caroline - David Gray,David Gray,Caroline,1829211,TREYTFS128F4242A27
silly_40,u574494,Thrice - Silhouette,Thrice,Silhouette,284897,TRMPDRD128F1462B76
silly_41,u277488,numb -->>Linkin park,Linkin Park,Numb (Live In Texas),440026,TRHKEAQ128F1480E8E
silly_42,u535390,Emery - Walls,Emery,Walls,8660400,TRIFUUN128F14ADDE1
silly_43,u535390,In Flames - Gyroscope,In Flames,Gyroscope,1120717,
silly_44,u481409,Believe-Hanson,Hanson,Believe,13479390,TRTUVPP128F428BC78
silly_45,u603165,Alien Ant Farm - Smooth Criminal,Alien Ant Farm,Smooth Criminal,12759626,TRFUVKB12903CB0FE3
silly_46,u603165,Kelis - Intro,Kelis,Intro,9191136,TRQVDQN128E0780CF8
silly_47,u603166,Allister -Don&apos;t Think Twice-,Allister,Don't Think Twice,14748596,TRHAXEH128F930177C
silly_48,u481420,The Ugly Bug Ball - Burl Ives,Burl Ives,The Ugly Bug Ball,1464551,TRKPLHN128F424833C
silly_49,u268571,Dave Brockie Experience - Hard for a &apos;Tard,Dave Brockie Experience,Hard For A Tard,6199356,TRRFDPJ128F934B39E
silly_50,u623821,Blue Monday - Orgy,Orgy,Blue Monday,87488,TRRSZCO128F4270273
silly_51,u402702,Trapt- Echo,Trapt,Echo,17425354,
silly_52,u535441,The Refused - New Noise,Refused,New Noise,3958674,TRHCDNE12903CB164C
silly_53,u574532,The Corrs - Closer,The Corrs,Closer,1376382,
silly_54,u481454,Lamb - alien,Lamb,Alien,291405,TRFDHIV128F1463D6B
silly_55,u2316,Come Clean-Hilary DUff,Hilary Duff,Come Clean,2032701,
silly_56,u535466,Rockapella - Zombie Jamboree,Rockapella,Zombie Jamboree,6314119,
silly_57,u402766,"Motion City Soundtrack - ""Mary Without Sound""",Motion City Soundtrack,Mary Without Sound (Album Version),3973986,TRTOXEI128F428AB3F
silly_58,u481474,Fallen -- Sarah McLachlan,Sarah McLachlan,Fallen,3537706,TRWDSUR128F42918EB
silly_59,u481475,Interpol-Narc,Interpol,Narc,13337836,TRHXTAS128F429EBDA
silly_60,u275218,SNot- My Balls,Snot,My Balls,510100,TROKQVH128F148D1C3
silly_61,u402798,Something Corporate- Forget December,Something Corporate,Forget December,244668,TRECEJJ12903CB7042
silly_62,u623847,no doubt-running,No Doubt,Running,11506698,TRJMYWD128E078ED31
silly_63,u623852,Jimmy Eat World - Pain,Jimmy Eat World,Pain,3922427,TRUTNNQ128E0783715
silly_64,u574565,"weezer - ""buddy holly""",Weezer,Buddy Holly,5642759,TRWWXTP128F93351DA
silly_65,u277845,Radiohead - Just,Radiohead,Just,14553286,TREXJJE128E0781B1D
silly_66,u535520,tHe KiLLeRs --> Mr bRiGhTSiDe,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
silly_67,u535520,all american rejects- the last song,The All-American Rejects,The Last Song,162176,TRMPNAU128F148D616
silly_68,u402879,Smashing Pumpkins - Bullet with Butterfly Wings,The Smashing Pumpkins,Bullet With Butterfly Wings,104225,TRBHVDQ128E0788919
silly_69,u268580,Safri Duo - Played A Live,Safri Duo,Played-A-Live (The Bongo Song),13221151,TRHFTML128F145EBC1
silly_70,u2784,come clean - hilary duff,Hilary Duff,Come Clean,2032701,
silly_71,u2790,Cathy Dennis - Too Many Walls,Cathy Dennis,Too Many Walls,387257,TRINALA12903CD3C06
silly_72,u402899,Led Zeppelin - Immigrant song,Led Zeppelin,Immigrant Song,1787067,
silly_73,u481592,When you believe-mariah carey,Mariah Carey,When You Believe (from The Prince Of Egypt),161702,
silly_74,u574611,Thursday - Ian Curtis,Thursday,Ian Curtis,2223294,TRTGEBP128F14862A3
silly_75,u402932,The Reflecting God - Marilyn Manson,Marilyn Manson,The Reflecting God,163392,TRWSTRG128E0783A24
silly_76,u402932,Tobacco Island - Flogging Molly,Flogging Molly,Tobacco Island,8587212,TRGIGOM12903CE8965
silly_77,u574619,only one - yellowcard,Yellowcard,Only One,285608,TREJJLL128F1462E03
silly_78,u574619,seether - broken,Seether,Broken,6858715,
silly_79,u2960,joni mitchell - both sides now,Joni Mitchell,Both Sides Now,129183,
silly_80,u402034,Jupiter Sunrise - Cherry Wine,Jupiter Sunrise,Cherry Wine,4862628,TRGQPGA128F92ECC25
silly_81,u268585,Great White - House Of Broken Love,Great White,House Of Broken Love,13072762,TRVJGDX128F42645CA
silly_82,u268585,3 Doors Down - Kryptonite,3 Doors Down,Kryptonite,143770,TRHTCXG12903CC2F60
silly_83,u574623,Steely Dan - The Fez,Steely Dan,The Fez,160133,TRVFKQH128F9310B88
silly_84,u481628,The Used- I&apos;m A Fake,The Used,I'm A Fake,1434197,
silly_85,u3014,Britney Spears-My Prerogative,Britney Spears,My Prerogative,3379836,TRWWDLE128F42995FE
silly_86,u639059,Ruination Day - Gillian Welch,Gillian Welch,Ruination Day,5198208,
silly_87,u603260,somewhere i belong-linkin park,Linkin Park,Somewhere I Belong,449735,
silly_88,u603271,Good Charlotte - I just wanna live,Good Charlotte,I Just Wanna Live,3290771,TRTODYW128F4282A13
silly_89,u273944,Train- When I Look To The Sky,Train,When I Look To The Sky,3223342,TRMLVAP128F4281E96
silly_90,u3269,"""fortunate fool""-Jack Johnson",Jack Johnson,Fortunate Fool,15603566,TRGGLQD12903D1256C
silly_91,u273945,"""The Middle"" - Jimmy Eat World",Jimmy Eat World,The Middle,161986,TRRCPXP128E0791F01
silly_92,u481680,Alkaline Trio - Stupid Kid,Alkaline Trio,Stupid Kid,3876345,TRXGOMB128F42A01A3
silly_93,u278123,Lover Won&apos;t You Stay - Will Young,Will Young,Lover Won't You Stay,3357129,TRTMCPU128F93009AE
silly_94,u481681,Orgy - Blue Monday,Orgy,Blue Monday,87488,TRRSZCO128F4270273
silly_95,u574656,Adema- *Skin*,Adema,Skin,18753804,TRWVJIQ128F428CC81
silly_96,u481695,"""Caraluna"" - Bacilos",Bacilos,Caraluna,2273613,TRBNCJS128F426D7A4
Silly_97,u403057,Talk Dirty to Me -- Poison,Poison,Talk Dirty To Me,13479334,
silly_98,u403063,Barenaked Ladies - Brian Wilson,Barenaked Ladies,Brian Wilson,15457435,
silly_99,u271891,"korn-""when will this end""",Korn,When Will This End,7425416,TRECAHI128F428006E
silly_100,u268591,Third Eye Blind - Blinded,Third Eye Blind,Blinded,6766773,
silly_101,u574682,Sarah McLachlan - Stupid,Sarah McLachlan,Stupid,4143116,TRMJGNI128F92C3064
silly_102,u3470,Alan Parsons Project - Stereotomy,The Alan Parsons Project,Stereotomy,4890671,TRPFBKX128F425B131
silly_103,u574688,Sugarcult - Hate Every Beautiful Day,Sugarcult,Hate Every Beautiful Day,1170076,TRRVJXY128F428AAEB
silly_104,u535640,Never say Never-- Brandy,Brandy,Never Say Never ( LP Version ),128797,TRIOPDO128E078AFD2
silly_105,u535642,Jimmy Eat World - Bleed American,Jimmy Eat World,Bleed American,161984,TREQRAC128F42900F0
silly_106,u3735,Pearl Jam - Wishlist,Pearl Jam,Wishlist,3299175,TRARQSD128F427E2AA
silly_107,u278368,Queen-Breakthru,Queen,Breakthru,14180095,TRCESGY128E0780E09
silly_108,u278374,The Distillers- Sick of it All,The Distillers,Sick Of It All,2225436,TRQEGKN128F4262279
silly_109,u278377,like a movie - midtown,Midtown,Like A Movie,150468,TRKQVTI128E078F61C
silly_110,u278384,Rainbows - Cranes,Cranes,Rainbows,9708538,TRDPALJ128F428BD1D
silly_111,u403196,She Will be loved-Maroon 5,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
silly_112,u535691,Reel Big Fish - I want your girlfriend to be my girlfriend,Reel Big Fish,I Want Your Girlfriend To Be My Girlfriend Too,11459563,TRQVNWQ128F429F73B
silly_113,u256158,Rise Against - Broken English,Rise Against,Broken English,6186341,TRSFGSO128F93480D1
silly_114,u481834,Ataris----Boys of Summer,The Ataris,The Boys Of Summer,3222986,TRWQKYO128F427ED6B
silly_115,u623960,Linkin Park - Faint,Linkin Park,Faint [Live In Japan],864336,TRECWKG128EF35F93C
silly_116,u623960,KoRn - Word Up,Korn,Word Up!,15952692,TRIVBPW128F92E45B2
silly_117,u574780,Matmatah - L&apos;Apologie,Matmatah,L'apologie,4838339,TRIHEYT128F92E6F6A
silly_118,u535758,a lifetime-better than ezra,Better Than Ezra,A Lifetime,6908549,
silly_119,u403368,audioslave- show me how to live,Audioslave,Show Me How To Live,3223006,TRIFVDW128F4279DE0
silly_120,u574804,Surf Wax America-Weezer,Weezer,Surf Wax America (Live),5642815,
silly_121,u574815,Haunted--Evanescence,Evanescence,Haunted,6521479,TROBUIN128F427BB76
silly_122,u481905,"""Big And Rich - Save A Horse, Ride A Cowboy """,Big & Rich,Save A Horse (Ride A Cowboy),79563,
silly_123,u639131,gloria gaynor - i will survive,Gloria Gaynor,I Will Survive,19400092,TRGTKJT128F4245C67
silly_124,u535779,radiohead - karma police,Radiohead,Karma Police,4501647,TRHYPVF12903CB2D20
silly_125,u603390,bad religion - broken,Bad Religion,Broken,18844070,TRMLFEU128F428A9C8
silly_126,u574829,"""All She Wants to do is Dance"" - Don Henley",Don Henley,All She Wants To Do Is Dance,5440839,TRETYHL128F9308EF5
silly_127,u403458,Clay Aiken-Invisible,Clay Aiken,Invisible,15510197,TRLKKFV128F4289229
silly_128,u278807,Alphaville - Forever Young,Alphaville,Forever Young,124975,
silly_129,u639141,Ladytron - Jet Age,Ladytron,Jet Age,9066180,TRYPJIQ12903CFA064
silly_130,u4703,Jay Z- Izzo,Jay-Z,Izzo (H.O.V.A.),11369694,TRELXWE128E0786312
silly_131,u403517,Duke Ellington - Things Ain&apos;t What They Used to Be,Duke Ellington,Things Ain't What They Used To Be,2871400,TRNDRYN128F92DBD69
silly_132,u535837,Rebel Yell- Billy Idol,Billy Idol,Rebel Yell,2899043,TRIDUYB12903CC15D5
silly_133,u639155,Fuct Up Kid - Mest,Mest,Fuct Up Kid (Album Version),8485660,TRWRTYL12903CCFDBC
silly_134,u403551,Dixie Chicks - You Were Mine,Dixie Chicks,You Were Mine,9512433,TRJTHQT128F4261855
silly_135,u403558,Patrick Park - Something Pretty,Patrick Park,Something Pretty,6607995,TROBIIE12903CE1716
silly_136,u278961,control machete -  de perros amores,Control Machete,De Perros Amores,505817,TRCJNLI128F148C621
silly_137,u482024,Green Day - Holiday,Green Day,Holiday,8807805,
silly_138,u256191,Maroon 5--Sunday Morning,Maroon 5,Sunday Morning,864418,TRRUESA128F9302A03
silly_139,u5074,the killers- Mr. Brightside,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
silly_140,u482046,behind blue eyes - limp bizkit,Limp Bizkit,Behind Blue Eyes,3103151,TRKTVEA128F4259640
silly_141,u624017,Slipknot-Duality,Slipknot,Duality,1397970,
silly_142,u271904,"""Passive"" - A Perfect Circle",A Perfect Circle,Passive,1608588,
silly_143,u279137,Somebody Told Me-- The Killers,The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
silly_144,u279172,the used - i&apos;m a fake,The Used,I'm A Fake,1434197,
silly_145,u279173,"Stroke 9 - ""Kick Some Ass""",Stroke 9,Kick Some Ass (Remastered),266855,
silly_146,u279183,Nirvana-Smells like teen spirit,Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
silly_147,u482085,silverchair - across the night,Silverchair,Across The Night,1358950,
silly_148,u279200,311-Love song,311,Love Song,5828367,
silly_149,u574914,outkast - hey ya,OutKast,Hey Ya!,17671526,TRCJUCQ12903CEB017
silly_150,u5504,Lucky Me - Sarah Slean,Sarah Slean,Lucky Me,1338008,TRYBHIG128F4231285
silly_151,u279282,All that I&apos;ve Got- The Used,The Used,All That I've Got,1433466,
silly_152,u639187,Jessica Simpson-sweetest sin,Jessica Simpson,Sweetest Sin,3727797,TRVHWGN128F92EC423
silly_153,u279325,Guster- Airport Song,Guster,Airport Song,5196646,
silly_154,u603482,Three 6 Mafia - Ridin Spinners,Three 6 Mafia,Ridin Spinners,3466220,
silly_155,u403821,balla baby---> chingy,Chingy,Balla Baby,17879,
silly_156,u5840,Mariah Carey - Miss you,Mariah Carey,Miss You,3890369,
silly_157,u624047,Sugababes - Stronger,Sugababes,Stronger - sessions @ aol,518789,
silly_158,u403851,HIM - Buried Alive By Love,HIM,Buried Alive By Love,3537392,TRBYMGB128F4298191
silly_159,u279463,vertigo- U2,U2,Vertigo,4673,TRQRKGB128E078122A
