surprised_0,u256057,Mud On The Tires - Brad Paisley,Brad Paisley,Mud On The Tires (Live),11119261,
surprised_1,u173,N.E.R.D.- She Wants to Move,N.E.R.D.,She Wants To Move,11793053,TRYNQHX12903CF6019
surprised_2,u256065,311 - Flowing,311,Flowing,5828350,TRYLHVP128F92F158A
surprised_3,u402164,Ben Folds - Silver Street,Ben Folds,Silver Street,16836661,TRSGEAR128F92DD6DB
surprised_4,u638950,Sarah Mclachlan - Push,Sarah McLachlan,Push,15860968,TRCFJDA128F4291720
surprised_5,u276790,thrice-in years to come,Thrice,In Years To Come,6973471,TRPHGGJ128F931F58F
surprised_6,u276869,Incubus-The Warmth,Incubus,The Warmth,19759726,TRMDTAW128F9306C49
surprised_7,u276959,Killers- Natalie,The Killers,Believe Me Natalie,4465254,TRRLVTZ128F1454332
surprised_8,u402441,Mars Volta - Roulette Dares,The Mars Volta,Roulette Dares (The Haunt Of),3776642,TRHISOL128F148D65E
surprised_9,u277226,Autechre - Eggshell,Autechre,Eggshell,5920905,TROHWHC128F9307E5B
surprised_10,u402473,Deftones - Korea,Deftones,Korea,685403,
surprised_11,u638997,boulevard of broken dreams-green day,Green Day,Boulevard Of Broken Dreams,8807889,
surprised_12,u623794,The Killers - Somebody Told Me,The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
surprised_13,u1744,numb- linkin park,Linkin Park,Numb (Live In Texas),440026,TRHKEAQ128F1480E8E
surprised_14,u639021,ashlee simpson-unreachable,Ashlee Simpson,Unreachable,3441857,TREHRBW128F42A6D9D
surprised_15,u623817,Closure-Chevelle,Chevelle,Closure,3112383,TRZKXBN128F426F899
surprised_16,u535429,Sugarcult - Stuck in America,Sugarcult,Stuck In America,1083389,TRCJPHJ128F428AAEA
surprised_17,u2284,"""Dancer in the Dark"" - For My Pain",For My Pain...,Dancer in the Dark,4574858,TRSPOOP128F931FC3D
surprised_18,u402750,ATB - ECSTASY,ATB,Ecstasy,609662,TRHUOII128F14A0C3C
surprised_19,u481468,weakerthans - diagnosis,The Weakerthans,Diagnosis,1786296,
surprised_20,u639031,Rammstein - Moskau,Rammstein,MOSKAU,16148,TRYLOWN128E078393D
