thankful_0,u13,Jimmy Eat World - Pain,Jimmy Eat World,Pain,3922427,TRUTNNQ128E0783715
thankful_1,u535106,goo goo dolls - slide,Goo Goo Dolls,Slide (Live Version),1434012,TRUJZMM128F42417D6
thankful_2,u402063,Nickelback - Figured You Out,Nickelback,Figured You Out,2266888,TRRYLSW128F426BD67
thankful_3,u23,Jagged Edge - Goodbye,Jagged Edge,Goodbye,12906123,TRLRVYW128F4264F04
thankful_4,u402081,Jack Johnson- Better Together,Jack Johnson,Better Together,85559,TRHSEDE128F146CC3A
thankful_5,u623699,"""Take Me Out"" - Franz Ferdinand",Franz Ferdinand,Take Me Out,5498916,TRWXKDD128F9311508
thankful_6,u110,mr. brightside - The Killers,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
thankful_7,u481015,Believe-Yellowcard,Yellowcard,Believe,285613,TRWVZBZ128F1462E08
thankful_8,u535135,Rearviewmirror- Pearl Jam,Pearl Jam,Rearviewmirror,3272107,TRWLICW128F4284953
thankful_9,u535138,Lit - Everything&apos;s Cool,Lit,Everything's Cool,3389920,TROZHUV128F429A6DF
thankful_10,u535138,Lit - Everything&apos;s Cool,Lit,Everything's Cool,3389920,TROZHUV128F429A6DF
thankful_11,u535140,Angel -Amanda Perez,Amanda Perez,Angel,273730,TRMDLNM128F42722CF
thankful_12,u623709,Big Bad Voodoo Daddy - Mr. Pinstripe Suit,Big Bad Voodoo Daddy,Mr. Pinstripe Suit (Live),7815257,
thankful_13,u603035,Van Morrison - Tupelo Honey,Van Morrison,Tupelo Honey,1099554,TRQOBCM128F428EA6E
thankful_14,u481037,Brand New-jude law and a semester abroad,Brand New,Jude Law and a Semester Abroad,16579773,TRXWGEZ128F932D5D3
thankful_15,u346,thursday - cross out the eyes,Thursday,Cross Out The Eyes,15679017,
thankful_16,u603050,Less Than Jake - Jen Doesn&apos;t Like Me Anymore,Less Than Jake,Jen Doesn't Like Me Anymore,7626,TRDFSCW128F4221EAD
thankful_17,u402200,Lack of Color - Death cab,Death Cab for Cutie,A Lack Of Color,14139757,
thankful_18,u574340,silverchair-tomorrow,Silverchair,Tomorrow,169878,TRZRRMA128F4271F82
thankful_19,u583,Two Timing Touch and Broken Bones--The Hives,The Hives,Two-Timing Touch and Broken Bones,4043,TRHFRLG12903CA15F1
thankful_20,u402252,The Prodigy - Get up get off,The Prodigy,Get Up Get Off,308686,
thankful_21,u615,Fall out BOY- DEAd on Arrival,Fall Out Boy,Dead On Arrival,7053636,
thankful_22,u535215,Linkin Park-With You,Linkin Park,With You,193081,
thankful_23,u638959,God&apos;s Love- Bad Religion,Bad Religion,God's Love (Album Version),3974002,TRJCQMC128F428AC06
thankful_24,u256077,taking back sunday- your own disaster,Taking Back Sunday,Your Own Disaster '04,15671927,
thankful_25,u623734,Running Away- Hoobastank,Hoobastank,Running Away,3511514,TRAWFUR128F1463CCD
thankful_26,u276958,Fall out boy-Homesick at space camp,Fall Out Boy Tribute,Homesick At Space Camp,245840,
thankful_27,u623742,Me against the music- Britney Spears,Britney Spears,Me Against the Music,12688235,
thankful_28,u535255,Crossfade - Colors,Crossfade,Colors,3275380,TRBMYVY128F427EDC2
thankful_29,u574385,Why -Jadakiss,Jadakiss,Why,14992958,
thankful_30,u277031,osker - the body,Osker,The Body,17215675,TRJVAFA128F4262592
thankful_31,u268552,Ugly - The Exies,The Exies,Ugly,295859,TRHDYGW128F1464CF1
thankful_32,u402364,Fefe Dobson - Rock it till you drop it.,Fefe Dobson,Rock It Till You Drop It,23493,TRDNRPV128E0784613
thankful_33,u402374,"""Papa, Don&apos;t Preach"" - Madonna",Madonna,Papa Don't Preach,6532328,TRBIBLJ12903CCF436
thankful_34,u402403,Finger Eleven - Slow Chemical,Finger Eleven,Slow Chemical,6807383,TRXHNJR128F92F6FF8
thankful_35,u277149,DMX- We&apos;re Back,DMX,We're Back,3328350,
thankful_36,u1218,Thrice - Cold cash and colder hearts,Thrice,Cold Cash Colder Hearts,560018,TRMWBOH128F9300AB8
thankful_37,u273935,phantom planet - california,Phantom Planet,California (Live),3166258,
thankful_38,u623768,The Man Who Sold the World - Nirvana,Nirvana,The Man Who Sold The World,148338,TRXHYNW128E078EDF9
thankful_39,u1289,Placebo - Every you,Placebo,Every You Every Me,7408864,
thankful_40,u623770,Ryan Cabrera - On the way down,Ryan Cabrera,On The Way Down,63781,
thankful_41,u277215,A Moment Like This - Kelly Clarkson,Kelly Clarkson,A Moment Like This,3371063,TRHOQZW128F4297564
thankful_42,u574439,"""Sooner or Later"" - Switchfoot",Switchfoot,Sooner Or Later,669578,TRRYSMM128F92F6EFF
thankful_43,u623773,She Will Be Loved-Maroon 5,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
thankful_44,u268559,me and the moon-Something Corporate,Something Corporate,Me And The Moon,2444849,TRUZNCR128F429239E
thankful_45,u263623,rufio - above me,Rufio,Above Me,2658634,TRQDLLD128F423EE2C
