touched_0,u256057,He Ain&apos;t Worth Missing - Toby Keith,Toby Keith,He Ain't Worth Missing,2675966,TRFXFGS128F9333EEA
touched_1,u481002,Thinkin&apos; About You - Britney Spears,Britney Spears,Thinkin' About You,10440550,TRCCIKH128F932FE80
touched_2,u535132,Faint---Linkin Park,Linkin Park,Faint [Live In Japan],864336,TRECWKG128EF35F93C
touched_3,u303,Little Moments - Brad Paisley,Brad Paisley,Little Moments,11119231,TRTAAHY128F428D383
touched_4,u402190,Sarah McLachlan - I Love You,Sarah McLachlan,I Love You,19220760,TRGDDIU128F42B8595
touched_5,u263600,evanescence - my immortal,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
touched_6,u263602,Damien Rice - The Blower&apos;s Daughter,Damien Rice,The Blower's Daughter,79593,TRHWLMP12903CC44A8
touched_7,u603052,"Hanson - ""Broken Angel""",Hanson,Broken Angel,16089369,TRHKEIS128F428BC73
touched_8,u402233,jojo-get out,JoJo,Leave (Get Out) (Instrumental),4628,
touched_9,u481085,Queen - Bohemian Rhapsody,Queen,Bohemian Rhapsody,11612115,TRINKPR128F1455756
touched_10,u276841,Foo Fighters - Breakout,Foo Fighters,Breakout,6788024,TRVGDSQ128F92E1D25
touched_11,u535209,Disturbed - Down with the Sickness,Disturbed,Down With The Sickness,8552136,
touched_12,u402257,nickel creek - the lighthouse&apos;s tale,Nickel Creek,The Lighthouse's Tale,4285667,TRYDQHN128F92E7199
touched_13,u276895,"""wonderwall""- oasis",Oasis,Wonderwall,167751,TRUJWKU128E07934B6
touched_14,u535223,the killers-mr. brightside,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
touched_15,u402308,everytime-britney spears,Britney Spears,Everytime,3371815,TRHESQM128F9309934
touched_16,u638971,KISS - Strutter,Kiss,Strutter,3701235,
touched_17,u1118,Game Over - Lil Flip,Lil' Flip,Game Over,8957344,
touched_18,u623764,Ohio is for lovers- Hawthorne Heights,Hawthorne Heights,Ohio Is For Lovers,15684044,
touched_19,u277172,"talib kweli - ""good to you""",Talib Kweli,Good To You,731878,TRMLPVR128EF345671
touched_20,u535305,goldfinger-counting the days,Goldfinger,Counting The Days,3367563,TRVUPPR128F429507D
touched_21,u402466,Scream out - The Unseen,The Unseen,Scream Out,3752481,
touched_22,u481274,twisted sister - i wanna rock,Twisted Sister,I Wanna Rock,5782393,TRHZLYU128F92E6499
touched_23,u603122,Ursula 1000 - Mambo 1000,Ursula 1000,Mambo 1000,6206558,TREEIDX128F934CFC0
touched_24,u277273,u2- vertigo,U2,Vertigo,4673,TRQRKGB128E078122A
touched_25,u603123,inhale - stone sour,Stone Sour,Inhale,1384483,
touched_26,u1481,drops of jupiter-train,Train,Drops Of Jupiter,3232909,TRZZGIP128F4279856
touched_27,u1605,miss_kittin_-_requiem_for_a_hit,Miss Kittin,Requiem For A Hit,220320,
touched_28,u1671,Terror Squad - Lean Back,Terror Squad,Lean Back,14087560,TRPYGID128E0788BF5
touched_29,u1709,HIM - Join me,HIM,Join Me - Razorblade Mix,3340761,
