uncomfortable_0,u535117,"""Recycled Air"" - The Postal Service",The Postal Service,Recycled Air,11270589,
uncomfortable_1,u98,Elliott Smith - twilight,Elliott Smith,Twilight,6203097,TRDXMCF128F9316AE9
uncomfortable_2,u402111,muse- sing for absolution,Muse,Sing For Absolution,5134202,TRPLEEV128F42A7627
uncomfortable_3,u276686,Billy talent-The Ex,Billy Talent,The Ex,2271993,TRQQLDY128F422318E
uncomfortable_4,u638947,SuPeRmAn -- fiVe fOr fiGhtiNg,Five for Fighting,Superman (It's Not Easy),3228109,TRZSNFG128F930ADD4
uncomfortable_5,u276704,eels-beloved monster,Eels,My Beloved Monster (Live),7902290,
uncomfortable_6,u481033,interpol - slow hands,Interpol,Slow Hands,1308472,TRWQBUW128F422BC38
uncomfortable_7,u402142,patty griffin -- rain,Patty Griffin,Rain,17914805,TRNGHHZ128F4212FCC
uncomfortable_8,u603033,"""Where Is My Mind"" - The Pixies",Pixies,Where Is My Mind?,2073191,TRNNGMK128F423F034
uncomfortable_9,u481059,Last breath- evanescence,Evanescence,My Last Breath,6521484,TRQIIBI12903CDB5A9
uncomfortable_10,u481065,deep purple - child in time,Deep Purple,Child In Time (Live),3177991,
uncomfortable_11,u574334,"The Cure - - ""Burn""",The Cure,Burn,326440,TRUVFKA128F9331AFB
uncomfortable_12,u603050,Counting Crows - Round Here,Counting Crows,Round Here,158044,TRWDGKL128E0792A5C
uncomfortable_13,u276803,"OverKill - ""Who Tends The Fire""",Overkill,Who Tends The Fire  (LP Version),8559765,TRQAQKL12903CE1E93
uncomfortable_14,u504,Aphex Twin - Xtal,Aphex Twin,Xtal,15473634,TRZIQAP128F93129F2
uncomfortable_15,u481080,brand new - sic transit gloria...glory fades,Brand New,Sic Transit Gloria ... Glory Fades,7056177,TRGKWHO128F933361A
uncomfortable_16,u276818,The Get up Kids - I&apos;ll Catch You,The Get Up Kids,I'll Catch You ((Live)),9612070,
uncomfortable_17,u276866,pj harvey--highway 61 revisited,PJ Harvey,Highway '61 Revisited,4235,TRYZLDB128E07810FD
uncomfortable_18,u273934,Tip The Scales - Rise Against,Rise Against,Tip The Scales,101152,TRMFDOA128F42B459B
uncomfortable_19,u790,Kelly Clarkson-Behind These Hazel Eyes,Kelly Clarkson,Behind These Hazel Eyes,3428703,TRZODMM128F92F9E36
uncomfortable_20,u574373,"""Kiss The Bottle""  -Lucero",Lucero,Kiss the Bottle,12371877,
uncomfortable_21,u276973,Head Automatica - Solid Gold Telephone,Head Automatica,Solid Gold Telephone,1408122,
uncomfortable_22,u885,Foo Fighters - All My Life,Foo Fighters,All My Life,6788004,TRDBKUE128F4299D5A
uncomfortable_23,u481155,Saturday- Fall out Boy,Fall Out Boy,Saturday,18101254,TRBZCYL128F42385F2
uncomfortable_24,u535261,operation ivy- gonna find you,Operation Ivy,Gonna Find You,1828968,TRPTRKP128F4298704
uncomfortable_25,u256084,wow - snow patrol,Snow Patrol,Wow,890670,TRANQQZ128E079224E
uncomfortable_26,u271877,get up kids-mass pike,The Get Up Kids,Mass Pike,9612052,TRDSDCI12903CDBF24
uncomfortable_27,u638976,New Found Glory - Dressed to Kill,New Found Glory,Dressed To Kill,231624,TRYLMXY128C71967B6
uncomfortable_28,u481170,seether- broken,Seether,Broken,6858715,
uncomfortable_29,u1047,Silverchair- Ana&apos;s Song,Silverchair,Ana's Song (Open Fire),3190783,TRSTMUC128F4271B21
uncomfortable_30,u535280,Collective Soul-Tremble For My Beloved,Collective Soul,Tremble For My Beloved,12177434,
uncomfortable_31,u481189,I&apos;ve Fallen In Love With You - Joss Stone,Joss Stone,I've Fallen In Love with You,6530,TRWTJJB128E07818DE
uncomfortable_32,u402460,As I lay Dying--Forever,As I Lay Dying,Forever,10413737,TRRXHKC128F934B693
uncomfortable_33,u277222,Jimmy eat world - Pain,Jimmy Eat World,Pain,3922427,TRUTNNQ128E0783715
uncomfortable_34,u402476,Elton John--Tiny Dancer,Elton John,Tiny Dancer,14461516,
uncomfortable_35,u402488,rid of me-pj harvey,PJ Harvey,Rid Of Me,4229,TRWDWWB128E078110F
uncomfortable_36,u481281,John Mayer - Comfortable,John Mayer,Comfortable - EP Version,3272250,
uncomfortable_37,u1555,The Gathering- Saturnine,The Gathering,Saturnine,8134461,TRCHCDN128F9332495
uncomfortable_38,u1596,JEM - THEY,Jem,They,15888199,TRGETHW128F93321E9
uncomfortable_39,u1607,a tribe called quest - 8 million stories,A Tribe Called Quest,8 Million Stories,3325415,TRMOOYB128F4296946
uncomfortable_40,u402542,Aerosmith - Deuces Are Wild,Aerosmith,Deuces Are Wild,148328,TRWIELB128E079435D
uncomfortable_41,u277364,"Atreyu- ""The Crimson""",Atreyu,The Crimson,15671793,
uncomfortable_42,u277370,Decent days and nights- Futureheads,The Futureheads,Decent Days And Nights (acoustic),2273750,TRDEPWK128E078BE25
uncomfortable_43,u277371,Black Flag - Wasted,Black Flag,Wasted,2250448,TRBJQZU12903CE4487
uncomfortable_44,u277413,Simon & Garfunkel -- A hazy shade of winter,Simon & Garfunkel,A Hazy Shade Of Winter,14623853,TRHOCGD128F92CC05B
uncomfortable_45,u535368,Boards of Canada - Everything you do is a Balloon,Boards of Canada,Everything You Do Is A Balloon,6360453,TRNCDBJ12903CA5BCD
uncomfortable_46,u574481,Nick Drake - Cocaine Blues,Nick Drake,Cocaine Blues,1102321,TRFGLUR128F428F53C
uncomfortable_47,u271881,Somebody Told Me- The Killers,The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
uncomfortable_48,u481355,A Decade Under the Influence- Taking Back Sunday,Taking Back Sunday,A Decade Under The Influence,15686835,
uncomfortable_49,u481361,Zebra - Wait until the summer&apos;s gone,Zebra,Wait Until The Summer's Gone  (Live Version),8418322,TRWQJNS12903CBF717
uncomfortable_50,u268568,I&apos;m Just a Kid- Simple Plan,Simple Plan,I'm Just A Kid,2373415,
uncomfortable_51,u535389,Phantom Planet - The Guest,Phantom Planet,"The Guest - Live ""Bootleg"" Version",3470243,
uncomfortable_52,u277495,Hum Drum - Terror Squad,Terror Squad,Hum Drum,15923529,
uncomfortable_53,u481389,ours-sometimes,Ours,Sometimes,307661,TRNQVQG128F146764F
uncomfortable_54,u623813,God Dethroned - Execution Protocol,God Dethroned,The Execution Protocol,6198241,TRFHGYP128F934B26E
uncomfortable_55,u639018,Seal - Waiting For You,Seal,Waiting For You,7355720,TRCTPAJ128F4237508
uncomfortable_56,u535413,"""Slow Down"" -- Bobby Valentino",Bobby Valentino,Slow Down,5781766,TRDJHSF128F428304F
uncomfortable_57,u268569,Don&apos;t Know Why-Norah Jones,Norah Jones,Don't Know Why (Live),4674,TRFCNIJ128F423F32E
uncomfortable_58,u535418,Eric Clapton - Tears in Heaven,Eric Clapton,Tears In Heaven,1515377,TRVYICQ128F4252493
uncomfortable_59,u277557,bright eyes - one foot in front of the other,Bright Eyes,One Foot In Front Of The Other,573347,
