"""O""",Pure pleasure
"""Weird Al"" Yankovic",Angry White Boy Polka
"""Weird Al"" Yankovic","Ebay (Parody of ""I Want It That Way"" by the Backstreet Boys)"
"""Weird Al"" Yankovic",Genius In France
"""Weird Al"" Yankovic","Ode To A Superhero (Parody of ""Piano Man"" by Billy Joel)"
"""Weird Al"" Yankovic",Party At The Leper Colony
"""Weird Al"" Yankovic","Trash Day (Parody of ""Hot In Herre"" by Nelly)"
"""Weird Al"" Yankovic",Wanna B Ur Lovr
'Til Tuesday,Coming Up Close
'Til Tuesday,Crash And Burn
'Til Tuesday,J For Jules
'Til Tuesday,Love In A Vacuum
'Til Tuesday,Sleep
'Til Tuesday,The Other End (Of The Telescope)
'Til Tuesday,Voices Carry
(Hed) Planet Earth,Blackout
(Hed) Planet Earth,Bury Me
(Hed) Planet Earth,Carnivale
(Hed) Planet Earth,Crazy Life
(Hed) Planet Earth,Fallen
(Hed) Planet Earth,Flesh and Bone
(Hed) Planet Earth,Other Side
(Hed) Planet Earth,Revelations
(Hed) Planet Earth,Suck It Up
(We Are) Performance,Live a Little
(We Are) Performance,Lost Youth
(hed) p.e.,Higher Ground (feat. Kottonmouth Kings)
.38 Special,Back To Paradise
.38 Special,Back Where You Belong
.38 Special,Caught Up In You
.38 Special,Fantasy Girl
.38 Special,If I'd Been The One
.38 Special,Like No Other Night
.38 Special,Rebel To Rebel
.38 Special,Rockin' Into The Night
.38 Special,Rough Housin'
.38 Special,Second Chance
.38 Special,Somebody Like You
.38 Special,The Sound Of Your Voice
.38 Special,Wild-Eyed Southern Boys
1 Giant Leap,Braided Hair
1 Giant Leap,The Way You Dream
1 Mile North,August 8:15
1 Mile North,In 1983 He Loved To Fly
1 Mile North,Return To From Where We Came
10 Years,Wasteland
1000 Clowns,Rainy Days
101 Strings Orchestra,Dark Eyes
10cc,4% of Something
10cc,Dreadlock Holiday
10cc,How Dare You
10cc,I Wanna Rule The World
10cc,I'm Not In Love
10cc,Rubber Bullets
10cc,Silly Love
10cc,The Things We Do For Love
10cc,The Wall Street Shuffle
10cc,The Worst Band In the World
10cc,Une Nuit A Paris (Part 1) / The Same Night In Paris (Part 2) / Later The Same Night In Paris (Part 3)
112,All My Love
112,Damn (Album Version (Edited))
112,Dance With Me Remix
112,Everyday
112,God Knows (Album Version (Edited))
112,Hot & Wet
112,Hot & Wet (Remix)
